Location,FlowerID,Genotype,Plant_Sex,Flowering_Date
Arusha,136514,ITC1455-Mchare Mlelembo,female,2018-04-05
Arusha,16NM_ITC1468-Kahuti_plot65_r4c20,ITC1468,female,2019-03-27
Arusha,16NM_Huti-white_plot777r37c21,Huti-white,female,2019-04-01
Arusha,16NM_Huti-white_plot318r16c19,Huti-white,female,2019-04-08
Arusha,16NM_MchareLaini_plot207_r10c4,Mchare Laini,female,2019-04-16
Arusha,16NM_ITC1468-Kahuti_plot89_r5c5,ITC1468,female,2019-04-18
Arusha,16NM_Huti-white_plot590r29c2,Huti-white,female,2019-04-23
Arusha,16NM_ITC1455-MchareMlelembo_plot367_r18c12,ITC1455-Mchare Mlelembo,female,2019-05-03
Arusha,16NM_Huti-white_plot675r33c3,Huti-white,female,2019-04-16
Arusha,16NM_Huti-white_plot86r5c2,Huti-white,female,2019-04-18
Arusha,16NM_Huti-white_plot41r2c2,Huti-white,female,2019-05-22
Arusha,16NM_ITC1468-Kahuti_plot15_r1c15,ITC1468,female,2018-09-18
Arusha,136718,ITC1468,female,2018-05-17
Arusha,136667,ITC1468,female,2018-05-18
Arusha,16NM_ITC1455-MchareMlelembo_plot402_r20c19,ITC1455-Mchare Mlelembo,female,2018-09-20
Arusha,16NM_Huti-white_plot421r21c1,Huti-white,female,2019-04-23
Arusha,16NM_ITC1468-Kahuti_plot7_r1c7,ITC1468,female,2018-09-24
Arusha,136673,ITC1468,female,2018-07-24
Arusha,16NM_Huti-white_plot209r10c2,Huti-white,female,2018-09-24
Arusha,16NM_ITC1468-Kahuti_plot5_r1c5,ITC1468,female,2018-09-07
Arusha,16NM_ITC1455-MchareMlelembo_plot430_r21c10,ITC1455-Mchare Mlelembo,female,2018-09-11
Arusha,16NM_ITC1468-Kahuti_plot99_r5c15,ITC1468,female,2018-09-26
Arusha,16NM_ITC1468-Kahuti_plot13_r1c13,ITC1468,female,2018-09-28
Arusha,16NM_Huti-white_plot796r38c3,Huti-white,female,2019-02-21
Arusha,16NM_ITC1455-MchareMlelembo_plot408_r20c13,ITC1455-Mchare Mlelembo,female,2018-10-05
Arusha,16NM_ITC1468-Kahuti_plot58_r3c16,ITC1468,female,2018-10-15
Arusha,16NM_ITC1460-IjihuInkundu_plot338_r17c2,ITC1460,female,2018-10-16
Arusha,16NM_Huti-white_plot296r15c2,Huti-white,female,2019-04-23
Arusha,16NM_ITC1460-IjihuInkundu_plot354_r17c18,ITC1460,female,2018-10-17
Arusha,16NM_ITC1460-IjihuInkundu_plot322_r16c15,ITC1460,female,2018-10-18
Arusha,16NM_ITC1455-MchareMlelembo_plot404_r20c17,ITC1455-Mchare Mlelembo,female,2018-10-22
Arusha,16NM_ITC1455-MchareMlelembo_plot429_r21c9,ITC1455-Mchare Mlelembo,female,2018-10-24
Arusha,16NM_ITC1460-IjihuInkundu_plot290_r14c5,ITC1460,female,2018-11-02
Arusha,16NM_ITC1460-IjihuInkundu_plot351_r17c15,ITC1460,female,2018-11-13
Arusha,16NM_ITC1468-Kahuti_plot81_r4c4,ITC1468,female,2018-11-21
Arusha,16NM_Huti-white_plot715r35c1,Huti-white,female,2018-11-28
Arusha,16NM_Huti-white_plot151_r8c18,Huti-white,female,2018-12-10
Arusha,16NM_ITC1468-Kahuti_plot50_r3c8,ITC1468,female,2018-12-19
Arusha,16NM_ITC1460-IjihuInkundu_plot278_r14c17,ITC1460,female,2018-12-21
Arusha,16NM_ITC1460-IjihuInkundu_plot352_r17c16,ITC1460,female,2018-12-28
Arusha,16NM_ITC1468-Kahuti_plot102_r5c18,ITC1468,female,2019-01-07
Arusha,16NM_MchareLaini_plot194_r10c17,Mchare Laini,female,2019-01-11
Arusha,16NM_MchareLaini_plot246_r12c7,Mchare Laini,female,2019-01-21
Arusha,16NM_Huti-white_plot251r12c2,Huti-white,female,2019-04-23
Arusha,16NM_ITC1468-Kahuti_plot100_r5c16,ITC1468,female,2019-02-05
Arusha,16NM_ITC1468-Kahuti_plot69_r4c16,ITC1468,female,2019-02-13
Arusha,16NM_ITC1468-Kahuti_plot83_r4c2,ITC1468,female,2018-10-05
Arusha,16NM_Huti-white_plot150r8c19,Huti-white,female,2019-02-26
Arusha,16NM_MchareLaini_plot232_r12c21,Mchare Laini,female,2019-02-27
Arusha,16NM_Huti-white_plot108r6c19,Huti-white,female,2019-03-04
Arusha,16NM_Huti-white_plot146r7c20,Huti-white,female,2019-03-12
Arusha,16NM_Huti-white_plot168r8c1,Huti-white,female,2019-03-19
Arusha,16NM_Huti-white_plot112_r6c15,Huti-white,female,2019-03-21
Arusha,16NM_Huti-white_plot144_r7c18,Huti-white,female,2019-03-27
Arusha,16NM_ITC1468-Kahuti_plot57_r3c15,ITC1468,female,2019-03-28
Arusha,16NM_Huti-white_plot548r27c2,Huti-white,female,2019-04-01
Arusha,16NM_Huti-white_plot163_r8c6,Huti-white,female,2019-04-02
Arusha,16NM_ITC1455-MchareMlelembo_plot438_r21c18,ITC1455-Mchare Mlelembo,female,2018-10-15
Arusha,16NM_Huti-white_plot569r28c20,Huti-white,female,2019-04-15
Arusha,16NM_ITC1468-Kahuti_plot2_r1c2,ITC1468,female,2019-04-23
Arusha,136445,ITC1468,female,2018-04-23
Arusha,16NM_ITC1468-Kahuti_plot103_r5c19,ITC1468,female,2019-04-26
Arusha,16NM_ITC1468-Kahuti_plot29_r2c14,ITC1468,female,2018-10-18
Arusha,16NM_ITC1455-MchareMlelembo_plot391_r19c13,ITC1455-Mchare Mlelembo,female,2019-05-03
Arusha,16NM_ITC1460-IjihuInkundu_plot300_r15c6,ITC1460,female,2019-05-06
Arusha,16NM_Huti-white_plot170_r9c2,Huti-white,female,2019-05-20
Arusha,136697,ITC1468,female,2018-04-16
Arusha,16NM_ITC1468-Kahuti_plot16_r1c16,ITC1468,female,2018-09-10
Arusha,16NM_ITC1455-MchareMlelembo_plot412_r20c9,ITC1455-Mchare Mlelembo,female,2018-09-11
Arusha,16NM_MchareLaini_plot272_r13c20,Mchare Laini,female,2018-09-26
Arusha,16NM_ITC1468-Kahuti_plot28_r2c15,ITC1468,female,2018-09-28
Arusha,16NM_ITC1468-Kahuti_plot11_r1c11,ITC1468,female,2018-10-01
Arusha,16NM_ITC1455-MchareMlelembo_plot407_r20c14,ITC1455-Mchare Mlelembo,female,2018-10-05
Arusha,16NM_ITC1468-Kahuti_plot96_r5c12,ITC1468,female,2018-10-10
Arusha,16NM_ITC1468-Kahuti_plot96_r5c12,ITC1468,female,2018-10-15
Arusha,16NM_ITC1460-IjihuInkundu_plot353_r17c17,ITC1460,female,2018-10-17
Arusha,16NM_ITC1460-IjihuInkundu_plot328_r16c9,ITC1460,female,2018-10-24
Arusha,16NM_ITC1460-IjihuInkundu_plot301_r15c7,ITC1460,female,2018-10-26
Arusha,16NM_MchareLaini_plot259_r13c7,Mchare Laini,female,2018-11-06
Arusha,16NM_ITC1455-MchareMlelembo_plot403_r20c18,ITC1455-Mchare Mlelembo,female,2018-10-29
