.id,Crossnumber,Location,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Embryo_Rescue_Date,Good_Seeds,Number_of_Embryo_Rescued,Germination_Date,Number_of_Embryo_Germinating
1,BT201804_(136492C2/136283),Arusha,136492,ITC1455-Mchare Mlelembo,2,136283,ITC0609 Pahang,2018-04-07,2018-09-11,2018-09-27,0,,,,,
1,BT201804_(136513C2/136328),Arusha,136513,ITC1455-Mchare Mlelembo,2,136328,ITC0609 Pahang,2018-04-06,2018-09-11,2018-10-08,0,,,,,
1,BT201804_(136514C2/136328),Arusha,136514,ITC1455-Mchare Mlelembo,2,136328,ITC0609 Pahang,2018-04-06,2018-09-26,2018-10-10,0,,,,,
1,BT201804_(136642C2/136599),Arusha,136642,ITC1455-Mchare Mlelembo,2,136599,ITC0712,2018-04-06,2018-10-02,2018-10-11,0,,,,,
1,BT201804_(136650C2/136460),Arusha,136650,Huti-white,2,136460,ITC0712,2018-04-07,,,,,,,,
1,NM201804_(136345C2/136328),Arusha,136345,ITC1455-Mchare Mlelembo,2,136328,ITC0609 Pahang,2018-04-09,2018-10-02,2018-10-11,0,,,,,
1,NM201804_(136468C2/136357),Arusha,136468,ITC1460,2,136357,ITC0609 Pahang,2018-04-12,2018-11-08,2018-11-14,3,2018-12-05,3,3,,
1,NM201804_(136523C2/136490),Arusha,136523,ITC1468,2,136490,ITC0712,2018-04-23,,,,,,,,
1,NM201804_(136664C2/136490),Arusha,136664,ITC1455-Mchare Mlelembo,2,136490,ITC0712,2018-04-12,2018-11-09,2018-11-14,0,,,,,
1,NM201804_(136697C2/136357),Arusha,136697,ITC1468,2,136357,ITC0609 Pahang,2018-04-16,2018-09-11,2018-09-27,0,,,,,
1,NM201804_389,Arusha,,,,,,,2018-10-22,,,,,,,
1,NM201804_396,Arusha,,,,,,,2018-11-08,2018-11-14,0,,,,,
1,NM201805_(136302C2/136460),Arusha,136302,ITC1455-Mchare Mlelembo,2,136460,ITC0712,2018-05-09,2018-10-17,,,,,,,
1,NM201805_(136316C2/136460),Arusha,136316,ITC1460,2,136460,ITC0712,2018-05-18,,,,,,,,
1,NM201805_(136418C2/136460),Arusha,136418,ITC1455-Mchare Mlelembo,2,136460,ITC0712,2018-05-14,2018-09-26,2018-10-11,0,,,,,
1,NM201805_(136440C2/136460),Arusha,136440,ITC1468,2,136460,ITC0712,2018-05-09,2018-11-06,2018-11-14,0,,,,,
1,NM201805_(136441C1/136460),Arusha,136441,ITC1468,1,136460,ITC0712,2018-05-22,,,,,,,,
1,NM201805_(136452C/136490),Arusha,136452,Mchare Laini,,136490,ITC0712,2018-05-03,,,,,,,,
1,NM201805_(136456C2/136460),Arusha,136456,Huti-white,2,136460,ITC0712,2018-05-31,,,,,,,,
1,NM201805_(136474C/136490),Arusha,136474,ITC1455-Mchare Mlelembo,,136490,ITC0712,2018-05-03,,,,,,,,
1,NM201805_(136491C1/136460),Arusha,136491,ITC1468,1,136460,ITC0712,2018-05-22,,,,,,,,
1,NM201805_(136494C1/136357),Arusha,136494,ITC1455-Mchare Mlelembo,1,136357,ITC0609 Pahang,2018-05-22,,,,,,,,
1,NM201805_(136494C2/136357),Arusha,,,,,,,2018-11-05,2018-11-14,0,,,,,
1,NM201805_(136504C/136490),Arusha,136504,ITC1455-Mchare Mlelembo,,136490,ITC0712,2018-05-03,,,,,,,,
1,NM201805_(136532C2/136460),Arusha,136532,ITC1468,2,136460,ITC0712,2018-05-09,,,,,,,,
1,NM201805_(136532C3/136490),Arusha,136532,ITC1468,3,136490,ITC0712,2018-05-03,,,,,,,,
1,NM201805_(136603C2/136357),Arusha,136603,ITC1455-Mchare Mlelembo,2,136357,ITC0609 Pahang,2018-05-29,,,,,,,,
1,NM201805_(136654C2/136460),Arusha,136654,ITC1455-Mchare Mlelembo,2,136460,ITC0712,2018-05-14,2018-10-02,2018-10-11,0,,,,,
1,NM201805_(136658C/136357),Arusha,136658,ITC1455-Mchare Mlelembo,,136357,ITC0609 Pahang,2018-05-03,,,,,,,,
1,NM201805_(136667C1/136357),Arusha,136667,ITC1468,1,136357,ITC0609 Pahang,2018-05-22,,,,,,,,
1,NM201805_(136696C/136490),Arusha,136696,ITC1455-Mchare Mlelembo,,136490,ITC0712,2018-05-03,,,,,,,,
1,NM201805_(136718C2/136460),Arusha,136718,ITC1468,2,136460,ITC0712,2018-05-18,2018-11-19,,,,,,,
1,NM201805_402,Arusha,,,,,,,2018-11-08,2018-11-14,0,,,,,
1,NM201805_407,Arusha,,,,,,,2018-10-22,2018-11-07,0,,,,,
1,NM201805_408,Arusha,,,,,,,2018-10-22,,,,,,,
1,NM201805_410,Arusha,,,,,,,2018-10-31,2018-11-07,0,,,,,
1,NM201805_411,Arusha,,,,,,,2018-10-22,2018-11-01,1,2018-12-05,1,1,,
1,NM201805_412,Arusha,,,,,,,2018-10-22,2018-11-01,1,2018-11-13,0,0,,
1,NM201805_413,Arusha,,,,,,,2018-10-22,2018-10-25,0,,,,,
1,NM201805_414,Arusha,,,,,,,2018-10-22,,,,,,,
1,NM201805_421,Arusha,,,,,,,2018-11-02,,,,,,,
1,NM201805_422,Arusha,,,,,,,2018-12-04,2018-12-13,0,,,,,
1,NM201805_428,Arusha,,,,,,,2018-11-08,,,,,,,
1,NM201805_429,Arusha,,,,,,,2018-11-08,2018-11-14,0,,,,,
1,NM201805_432,Arusha,,,,,,,2018-12-04,2018-12-13,0,,,,,
1,NM201805_433,Arusha,,,,,,,2018-10-31,2018-11-14,0,,,,,
1,NM201805_436,Arusha,,,,,,,2018-10-31,2018-11-07,0,,,,,
1,NM201805_438,Arusha,,,,,,,2018-10-31,2018-11-14,0,,,,,
1,NM201805_451,Arusha,,,,,,,2018-10-22,2018-10-25,3,2018-12-05,2,2,,
1,NM201805_453,Arusha,,,,,,,2018-11-19,2018-11-30,0,,,,,
1,NM201805_455,Arusha,,,,,,,2018-11-08,2018-11-14,0,,,,,
1,NM201806_(136314C2/136357),Arusha,136314,ITC1455-Mchare Mlelembo,2,136357,ITC0609 Pahang,2018-06-29,2018-11-21,2018-12-13,0,,,,,
1,NM201806_(136351C2/136460),Arusha,136351,Mchare Laini,2,136460,ITC0712,2018-06-12,,,,,,,,
1,NM201806_(136378C2/136653),Arusha,136378,ITC1468,2,136653,ITC0609 Pahang,2018-06-22,,,,,,,,
1,NM201806_(136380C2/136357),Arusha,136380,ITC1455-Mchare Mlelembo,2,136357,ITC0609 Pahang,2018-06-06,,,,,,,,
1,NM201806_(136518C2/136510),Arusha,136518,ITC1468,2,136510,ITC0609 Pahang,2018-06-26,,,,,,,,
1,NM201806_(136523C3/136460),Arusha,136523,ITC1468,3,136460,ITC0712,2018-06-12,,,,,,,,
1,NM201806_(136567C2/136510),Arusha,136567,ITC1468,2,136510,ITC0609 Pahang,2018-06-26,,,,,,,,
1,NM201806_(136634C2/136599),Arusha,136634,ITC1455-Mchare Mlelembo,2,136599,ITC0712,2018-06-26,,,,,,,,
1,NM201806_442,Arusha,,,,,,,2018-11-08,2018-11-14,0,,,,,
1,NM201806_443,Arusha,,,,,,,2018-10-29,2018-11-07,0,,,,,
