Location,Status,StatusID,Status_Date,Notes,Image
Arusha,Fallen banana bunch,NM201809_(136463C2/136490),2018-09-14,Plant fallen,http://classic.ona.io/api/v1/files/9354759?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1537178063214.jpg
Arusha,Fallen banana bunch,NM201901_(136481C2/161503),2019-02-13,Fallen  before maturity,http://classic.ona.io/api/v1/files/10925564?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1550057394007.jpg
Arusha,Fallen banana bunch,NM201809_(136458C2/136510),2018-12-21,The bunch was immature therefore not taken to the ripening room,http://classic.ona.io/api/v1/files/10543630?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1545366446797.jpg
Arusha,Fallen banana bunch,NM201811_(136298C2/136295),2018-12-05,Plant has fallen,http://classic.ona.io/api/v1/files/10402566?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1543982522327.jpg
Arusha,Fallen banana bunch,NM201809_(136293C2/136357),2019-01-04,Fall before maturity,http://classic.ona.io/api/v1/files/10611871?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1546579183674.jpg
Arusha,Fallen banana bunch,NM201809_(136423C2/136653),2018-12-10,Due to wind,http://classic.ona.io/api/v1/files/10448278?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1544416784275.jpg
Arusha,Fallen banana bunch,NM201806_(136634C2/136599),2018-10-26,Fall before maturity,http://classic.ona.io/api/v1/files/9765235?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1540535877503.jpg
Arusha,Fallen banana bunch,NM201808_(136601C2/136328),2018-12-31,Fallen,http://classic.ona.io/api/v1/files/10590745?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1546235846483.jpg
Arusha,Fallen banana bunch,NM201809_(136330C2/136283),2019-01-04,Fall before maturity,http://classic.ona.io/api/v1/files/10611870?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1546579240892.jpg
Arusha,Fallen banana bunch,NM201807_(136632C2/136357),2018-09-27,Plant fell due to wind,http://classic.ona.io/api/v1/files/9461205?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1538021493467.jpg
Arusha,Disease,16NM_Huti-white_plot173_r9c5,2018-10-22T00:00:00.000+03,Disease,http://classic.ona.io/api/v1/files/9710274?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1540209782795.jpg
Arusha,Disease,16NM_ITC1460-IjihuInkundu_plot288_r14c7,2018-09-21,Plant has disease,http://classic.ona.io/api/v1/files/9423025?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1537509100415.jpg
Arusha,Disease,16NM_MchareLaini_plot223_r11c13,2018-10-08,Disease,http://classic.ona.io/api/v1/files/9557669?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1538978294621.jpg
Arusha,Disease,16NM_MchareLaini_plot234_r12c19,2018-10-22,Disease,http://classic.ona.io/api/v1/files/9710267?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1540209384015.jpg
Arusha,Disease,16NM_MchareLaini_plot260_r13c8,2018-09-21T00:00:00.000+03,Plant has disease,http://classic.ona.io/api/v1/files/9423024?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1537509185145.jpg
Arusha,Disease,16NM_Huti-white_plot150_r8c19,2018-10-08T00:00:00.000+03,Disease,http://classic.ona.io/api/v1/files/9557670?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1538978413431.jpg
Arusha,Disease,16NM_MchareLaini_plot193_r10c18,2018-10-22T00:00:00.000+03,Disease,http://classic.ona.io/api/v1/files/9710270?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1540209525951.jpg
Arusha,Disease,136503,2018-04-09,"Spike leaves, yellowing on leaf margin",http://classic.ona.io/api/v1/files/7546769?filename=seedtracker/attachments/1523268406958.jpg
Arusha,Disease,136388,2018-08-06,Foc,http://classic.ona.io/api/v1/files/9062452?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1533533308920.jpg
Arusha,Disease,16NM_ITC1455-MchareMlelembo_plot423_r21c3,2018-09-21,Plant leaf become yellow from margins towards midrib,http://classic.ona.io/api/v1/files/9423029?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1537509431435.jpg
Arusha,Disease,16NM_MchareLaini_plot231_r11c21,2018-10-08,Disease,http://classic.ona.io/api/v1/files/9557679?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1538978500293.jpg
Arusha,Disease,16NM_ITC1460-IjihuInkundu_plot286_r14c9,2018-10-22,Disease,http://classic.ona.io/api/v1/files/9710271?filename=seedtracker/attachments/286910_BTracTNelsonMandela/1540209666886.jpg
Arusha,Died,136514,2018-04-06,Thus one now has a barcodes label,http://classic.ona.io/api/v1/files/7530970?filename=seedtracker/attachments/1523002646326.jpg
