PlantletID,Location,Germination_Date,Crossnumber,Subculture_Date,Copies,Date_of_Rooting,Number_Rooting,Sending_Out_Date,Number_Sent_Out,Weaning_2_Date,Weaning_2_Status,Weaning_2_Status_Image,Weaning_2_Plantlets,Screenhouse_Transfer_Date,Screenhouse_Status,Screenhouse_Status_Image,Number_in_Screenhouse,Hardening_Date,Hardening_Status,Hardening_Status_Image,Number_in_Hardening,Openfield_Transfer_Date,Number_in_Openfield
NM201804_(136468C2/136357)_1,Arusha,2019-01-02T00:00:00.000+03,NM201804_(136468C2/136357),,,,,,,,,,,,,,,,,,,,
NM201805_411_1,Arusha,2019-02-12,NM201805_411,,,,,,,,,,,,,,,,,,,,
NM201805_451_1,Arusha,2019-02-12,NM201805_451,,,,,,,,,,,,,,,,,,,,
NM201805_451_2,Arusha,2019-02-12,NM201805_451,,,,,,,,,,,,,,,,,,,,
NM201806_450_1,Arusha,2019-01-02T00:00:00.000+03,NM201806_450,,,,,,,,,,,,,,,,,,,,
NM201806_450_2,Arusha,2019-01-02T00:00:00.000+03,NM201806_450,,,,,,,,,,,,,,,,,,,,
NM201806_450_3,Arusha,2019-01-02T00:00:00.000+03,NM201806_450,,,,,,,,,,,,,,,,,,,,
NM201806_450_4,Arusha,2019-02-20,NM201806_450,,,,,,,,,,,,,,,,,,,,
NM201806_456_1,Arusha,2019-03-13,NM201806_456,,,,,,,,,,,,,,,,,,,,
NM201806_462_1,Arusha,2019-01-28T00:00:00.000+03,NM201806_462,,,,,,,,,,,,,,,,,,,,
NM201806_462_2,Arusha,2019-01-28T00:00:00.000+03,NM201806_462,,,,,,,,,,,,,,,,,,,,
NM201806_462_3,Arusha,2019-02-12,NM201806_462,,,,,,,,,,,,,,,,,,,,
NM201806_469_1,Arusha,2019-02-12,NM201806_469,,,,,,,,,,,,,,,,,,,,
NM201807_(136478C2/136357)_1,Arusha,2019-02-12,NM201807_(136478C2/136357),,,,,,,,,,,,,,,,,,,,
NM201807_(136670C2/136460)_1,Arusha,2019-03-01,NM201807_(136670C2/136460),,,,,,,,,,,,,,,,,,,,
NM201807_(136670C2/136460)_2,Arusha,2019-03-01,NM201807_(136670C2/136460),,,,,,,,,,,,,,,,,,,,
NM201807_477_1,Arusha,2019-02-12,NM201807_477,,,,,,,,,,,,,,,,,,,,
NM201807_477_2,Arusha,2019-02-12,NM201807_477,,,,,,,,,,,,,,,,,,,,
NM201807_483_1,Arusha,2019-01-28T00:00:00.000+03,NM201807_483,,,,,,,,,,,,,,,,,,,,
NM201807_495_1,Arusha,2019-02-12,NM201807_495,,,,,,,,,,,,,,,,,,,,
NM201807_495_2,Arusha,2019-02-12,NM201807_495,,,,,,,,,,,,,,,,,,,,
NM201807_495_3,Arusha,2019-02-12,NM201807_495,,,,,,,,,,,,,,,,,,,,
NM201807_495_4,Arusha,2019-02-12,NM201807_495,,,,,,,,,,,,,,,,,,,,
NM201807_498_1,Arusha,2019-02-12,NM201807_498,,,,,,,,,,,,,,,,,,,,
NM201807_498_2,Arusha,2019-02-12,NM201807_498,,,,,,,,,,,,,,,,,,,,
NM201807_498_3,Arusha,2019-02-12,NM201807_498,,,,,,,,,,,,,,,,,,,,
NM201807_498_4,Arusha,2019-02-12,NM201807_498,,,,,,,,,,,,,,,,,,,,
NM201807_503_1,Arusha,2019-02-12,NM201807_503,,,,,,,,,,,,,,,,,,,,
