Crossnumber,Embryo_Rescue_Date,Good_Seeds,Number_of_Embryo_Rescued
NM201804_(136468C2/136357),2018-12-05,3,3
NM201805_411,2018-12-05,1,1
NM201805_412,2018-11-13,0,0
NM201805_451,2018-12-05,2,2
NM201806_447,2018-12-05,2,2
NM201806_448,2018-12-05,2,2
NM201806_450,2018-12-05,8,8
NM201806_456,2019-01-11,3,3
NM201806_456,2019-01-11,3,3
NM201806_456,2019-01-11,3,3
NM201806_462,2019-01-11,14,14
NM201806_462,2019-01-11,14,14
NM201806_462,2019-01-11,14,14
NM201806_469,2019-01-11,1,1
NM201806_470,2019-01-11,0,0
NM201806_471,2019-01-11,1,1
NM201806_472,2019-01-11,0,0
NM201806_473,2019-01-11,2,2
NM201806_473,2019-01-11,2,2
NM201806_473,2019-01-11,2,2
NM201807_(136478C2/136357),2019-01-28,5,5
NM201807_(136619C2/136460),2019-01-11,2,2
NM201807_(136670C2/136460),2019-01-28,2,2
NM201807_477,2019-01-11,2,2
NM201807_483,2019-01-11,2,2
NM201807_483,2019-01-11,2,2
NM201807_483,2019-01-11,2,1
NM201807_484,2019-01-11,2,2
NM201807_485,2019-01-28,0,0
NM201807_498,2019-01-28,5,5
NM201807_503,2019-01-28,1,1
NM201808_517,2019-01-28,4,4
NM201808_521,2019-01-28,4,4
NM201808_522,2019-01-11,1,1
NM201808_530,2019-01-28,7,7
NM201808_531,2019-01-28,8,8
NM201809_(136371C2/136328),2019-01-28,3,3
NM201810_(136309C2/136460),2019-02-26,2,2
NM201810_(136316C2/136460),2019-02-07,34,34
NM201810_(136376C2/136460),2019-02-07,36,36
NM201810_(136507C2/161548),2019-02-07,94,94
NM201810_(136564C2/136460),2019-02-26,22,22
NM201810_(136679C2/136653),2019-02-07,21,21
