Location,Crossnumber,Repeat_Pollination_Date
Arusha,NM201903_(153170C1/161582),2019-03-19
Arusha,NM201903_(153118C1/161582),2019-03-19
Arusha,NM201903_(136354C3/161424),2019-03-20
Arusha,NM201903_(136354C3/161424),2019-03-21
Arusha,NM201903_(136354C3/161424),2019-03-22
Arusha,NM201903_(152645C1/161582),2019-03-25
Arusha,NM201903_(136391C2/161582),2019-03-26
Arusha,NM201903_(152610C1/161582),2019-03-26
Arusha,NM201903_(152408C1/161582),2019-03-26
Arusha,NM201903_(152645C1/161582),2019-03-27
Arusha,NM201903_(152408C1/161582),2019-03-28
Arusha,NM201903_(136549C2/161439),2019-03-29
Arusha,NM201903_(152566C1/161582),2019-04-01
Arusha,NM201903_(136465C2/161582),2019-04-04
Arusha,NM201904_(136504C2/161424),2019-04-05
Arusha,NM201904_(136408C3/161582),2019-04-09
Arusha,NM201904_(136408C3/161582),2019-04-10
Arusha,NM201904_(136647C2/136677),2019-04-11
Arusha,NM201904_(152689C1/161582),2019-04-12
Arusha,NM201904_(136610C2/161503),2019-04-15
Arusha,NM201904_(152921C1/161554),2019-04-15
Arusha,NM201904_(136450C2/136604),2019-04-17
Arusha,NM201904_(136450C2/136604),2019-04-18
Arusha,NM201904_(136707C2/136604),2019-04-19
Arusha,NM201904_(152625C1/161503),2019-04-24
Arusha,NM201904_(136568C2/161503),2019-04-25
Arusha,NM201904_(152625C1/161503),2019-04-26
Arusha,NM201904_(136707C2/136604),2019-04-29
Arusha,NM201904_(136541C2/161554),2019-04-30
Arusha,NM201904_(152899C1/161554),2019-04-30
Arusha,NM201904_(136541C2/161554),2019-05-01
Arusha,NM201904_(153154C1/161503),2019-05-01
Arusha,NM201904_(136541C2/161554),2019-05-02
Arusha,NM201904_(136541C2/161554),2019-05-03
Arusha,NM201905_(152973C1/161554),2019-05-07
Arusha,NM201905_(136561C2/161582),2019-05-08
Arusha,NM201905_(136663C3/161582),2019-05-09
Arusha,NM201905_(136561C2/161582),2019-05-10
Arusha,NM201903_(153129C1/161582),2019-03-19
Arusha,NM201903_(152700C1/161582),2019-03-19
Arusha,NM201903_(136457C2/161582),2019-03-20
Arusha,NM201903_(136457C2/161582),2019-03-22
Arusha,NM201903_(153052C1/161582),2019-03-25
Arusha,NM201903_(136315C2/161582),2019-03-26
Arusha,NM201903_(153098C1/161582),2019-03-28
Arusha,NM201903_(152408C1/161582),2019-03-29
Arusha,NM201903_(153107C1/161468),2019-04-01
Arusha,NM201904_(136459C2/161582),2019-04-04
