location,crossnumber,motherAccessionName,fatherAccessionName,firstpollination_date,harvesting_date,days_to_maturity,seed_extraction_date,days_harvest_extraction,total_seeds,good_seeds,badseeds,number_rescued,rescue_date,days_extraction_rescue,germination_after_8weeks_date,actively_germination_after_8weeks,contamination
Arusha,T1476,IITA 02145/1320,Paliama,2015-01-07,2015-12-15,342,2015-12-22,7,0,,,,,,,,
Arusha,T1497,Calcutta 4,Zebrina GF,2015-01-23,2015-12-02,313,2015-12-10,8,0,,,,,,,,
Arusha,T1508,IITA 02145/1320,Guyod,2015-02-06,2015-12-02,299,2015-12-10,8,0,,,,,,,,
Arusha,T1512,IITA 02145/1320,Guyod,2015-02-09,2016-02-10,366,2016-02-19,9,0,,,,,,,,
Arusha,T1515,Calcutta 4,Zebrina GF,2015-02-12,2015-11-04,265,2015-11-12,8,0,,,,,,,,
Arusha,T1534,IITA 02145/1320,Paliama,2015-02-27,2015-12-07,283,2015-12-14,7,0,,,,,,,,
Arusha,T1535,IITA 02145/1320,Guyod,2015-03-02,2015-12-15,288,2015-12-22,7,0,,,,,,,,
Arusha,T1542,Pisang Pahang,Guyod,2015-03-06,2015-09-24,202,2015-10-02,8,2,2,0,2,2015-10-02,,2015-12-01,0,
Arusha,T1546,IITA 02145/1320,Guyod,2015-03-09,2015-12-07,273,2015-12-14,7,0,,,,,,,,
Arusha,T1549,IITA 02145/1320,Paliama,2015-03-14,2015-12-15,276,2015-12-22,7,0,,,,,,,,
Arusha,T1550,Huti-white,cv-Rose,2015-03-16,2015-10-17,215,2015-10-25,8,0,,,,,,,,
Arusha,T1557,IITA 02145/1320,Guyod,2015-03-19,2016-01-11,298,2016-01-20,9,0,,,,,,,,
Arusha,T1561,Pisang Pahang,Guyod,2015-03-21,2015-10-12,205,2015-10-20,8,7,4,3,1,2015-10-22,,2015-12-21,0,
Arusha,T1562,IITA 02145/1320,Paliama,2015-03-23,2016-01-11,294,2016-01-20,9,19,19,0,14,2016-01-22,,2016-03-22,2,
Arusha,T1563,IITA 02145/1320,Guyod,2015-03-23,2015-12-07,259,2015-12-14,7,0,,,,,,,,
Arusha,T1566,IITA 02145/1320,Guyod,2015-03-27,2016-01-13,292,2016-01-26,13,0,,,,,,,,
Arusha,T1569,IITA 02145/1320,Paliama,2015-03-30,2016-01-11,287,2016-01-20,9,16,16,0,15,2016-01-22,,2016-03-22,5,
Arusha,T1570,IITA 02145/1320,Guyod,2015-03-30,2016-02-10,317,2016-02-18,8,0,,,,,,,,
Arusha,T1571,IITA 02145/1320,Guyod,2015-03-30,2016-02-10,317,2016-02-18,8,0,,,,,,,,
Arusha,T1573,IITA 02145/1320,Paliama,2015-04-01,2016-02-04,309,2016-02-11,7,0,,,,,,,,
Arusha,T1576,Guyod,cv-Rose,2015-04-06,2015-09-24,171,2015-10-02,8,7,7,0,2,2015-10-02,,2015-12-01,1,
Arusha,T1577,IITA 02145/1320,Paliama,2015-04-06,2016-01-20,289,2016-02-01,12,10,10,0,6,2016-03-01,,2016-03-03,6,0
Arusha,T1578,Kisukari Mchare,Calcutta 4,2015-04-09,2015-10-12,186,2015-10-20,0,0,,,,,,,,
Arusha,T1581,SH3142,Paliama,2015-04-13,2015-10-23,193,2015-11-06,14,1000,30,0,2,2015-11-09,,2016-01-08,0,
Arusha,T1584,Nakitengwa,Paliama,2015-04-15,2015-10-12,180,2015-10-20,8,0,,,,,,,,
Arusha,T1588,IITA 02145/1320,cv-Rose,2015-04-22,2016-01-11,264,2016-01-20,9,58,30,0,29,2016-01-22,,2016-03-22,3,
Arusha,T1589,IITA 02145/1320,Zebrina GF,2015-04-22,2016-01-13,266,2016-01-26,0,0,,,,,,,,
Arusha,T1591,IITA 02145/1320,Zebrina GF,2015-04-23,2016-02-10,293,2016-02-19,9,0,,,,,,,,
Arusha,T1593,Pisang Pahang,Guyod,2015-04-24,2016-01-11,262,2016-01-20,9,0,,,,,,,,
Arusha,T1598,IITA 02145/1320,cv-Rose,2015-04-27,2016-01-11,259,2016-01-20,9,165,35,0,34,2016-01-22,,2016-03-22,19,
Arusha,T1599,IITA 02145/1320,Zebrina GF,2015-04-27,2016-03-10,318,2016-03-17,7,0,,,,,,,,
Arusha,T1600,Kisukari Mchare,SH3142,2015-04-27,2015-11-04,191,2015-11-12,8,0,,,,,,,,
Arusha,T1601,Guyod,SH3142,2015-04-27,2015-10-23,179,2015-11-05,13,22,14,8,0,2015-11-09,,2016-01-08,0,
Arusha,T1602,Nakitengwa,Guyod,2015-04-27,2015-10-23,179,2015-11-03,11,0,,,,,,,,
Arusha,T1605,IITA 02145/1320,cv-Rose,2015-04-28,2016-01-26,273,2016-02-01,6,5,5,0,3,2016-02-01,,2016-04-01,2,0
Arusha,T1606,Calcutta 4,Zebrina GF,2015-04-28,2015-10-17,172,2015-10-25,8,0,,,,,,,,
Arusha,T1608,IITA 02145/1320,cv-Rose,2015-04-30,2016-01-22,267,2016-02-01,10,9,9,0,8,2016-02-01,,2016-04-01,5,0
Arusha,T1610,IITA 02145/1320,Zebrina GF,2015-05-01,2016-01-27,271,2016-02-01,5,38,38,0,31,2016-02-01,,2016-04-01,25,0
Arusha,T1611,Kisukari Mchare,Borneo,2015-05-01,2015-10-23,175,2015-11-03,11,0,,,,,,,,
Arusha,T1612,Nakitengwa,Paliama,2015-05-01,2015-10-17,169,2015-10-25,8,0,,,,,,,,
Arusha,T1613,Mlali,Calcutta 4,2015-05-02,2015-09-23,144,2015-10-02,7,9,9,0,5,2015-10-02,,2015-12-01,0,
Arusha,T1615,Nakitengwa,Guyod,2015-05-04,2015-10-23,172,2015-11-03,11,0,,,,,,,,
Arusha,T1616,IITA 02145/1320,Zebrina GF,2015-05-05,2016-02-24,295,2016-03-03,8,0,,,,,,,,
Arusha,T1617,Kisukari Mchare,Borneo,2015-05-06,2015-11-04,182,2015-11-12,8,0,,,,,,,,
Arusha,T1618,Datil,Malaccensis,2015-05-08,2015-10-17,162,2015-10-25,8,14,10,4,5,2015-10-29,,2015-11-28,0,
Arusha,T1620,Pahang,Guyod,2015-05-11,2015-11-25,198,2015-12-07,12,0,,,,,,,,
Arusha,T1629,Pahang,Guyod,2015-05-18,2015-11-04,170,2015-11-12,8,0,,,,,,,,
Arusha,T1635,Kisukari Mchare,cv-Rose,2015-05-22,2015-11-04,166,2015-11-12,8,0,,,,,,,,
