PlotName,PlotID,TrialName
16NM_ITC1468-Kahuti_plot32_r2c11,136284,2016 NM_Pollination block
16NM_ITC0609-Pahang_plot127_r7c1,136283,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot90_r5c6,136286,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot276_r14c19,136285,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot71_r4c14,136289,2016 NM_Pollination block
16NM_Huti-white_plot118_r6c9,136288,2016 NM_Pollination block
16NM_MchareLaini_plot206_r10c5,136287,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot102_r5c18,136290,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot331_r16c6,136292,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot358_r18c21,136291,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot16_r1c16,136293,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot55_r3c13,136294,2016 NM_Pollination block
16NM_ITC0712-AAcvRose_plot84_r4c1,136295,2016 NM_Pollination block
16NM_MchareLaini_plot233_r12c20,136296,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot437_r21c17,136297,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot57_r3c15,136300,2016 NM_Pollination block
16NM_MchareLaini_plot194_r10c17,136299,2016 NM_Pollination block
16NM_MchareLaini_plot259_r13c7,136298,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot368_r18c11,136302,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot424_r21c4,136301,2016 NM_Pollination block
16NM_MchareLaini_plot220_r11c10,136303,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot316_r16c21,136304,2016 NM_Pollination block
16NM_Huti-white_plot163_r8c6,136305,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot395_r19c17,136306,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot89_r5c5,136307,2016 NM_Pollination block
16NM_Huti-white_plot175_r9c7,136308,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot31_r2c12,136309,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot35_r2c8,136310,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot11_r1c11,136311,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot347_r17c11,136312,2016 NM_Pollination block
16NM_MchareLaini_plot208_r10c3,136313,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot434_r21c14,136314,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot93_r5c9,136315,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot292_r14c3,136316,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot29_r2c14,136319,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot325_r16c12,136318,2016 NM_Pollination block
16NM_T0834-1_plot378_r18c1,136317,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot350_r17c14,136320,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot291_r14c4,136321,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot374_r18c5,136322,2016 NM_Pollination block
16NM_Huti-white_plot114_r6c13,136324,2016 NM_Pollination block
16NM_MchareLaini_plot199_r10c12,136323,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot58_r3c16,136327,2016 NM_Pollination block
16NM_MchareLaini_plot226_r11c16,136326,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot429_r21c9,136325,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot15_r1c15,136330,2016 NM_Pollination block
16NM_Huti-white_plot153_r8c16,136329,2016 NM_Pollination block
16NM_ITC0609-Pahang_plot211_r11c1,136328,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot431_r21c11,136331,2016 NM_Pollination block
16NM_T0834-1_plot337_r17c1,136333,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot382_r19c4,136332,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot73_r4c12,136336,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot101_r5c17,136335,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot409_r20c12,136334,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot76_r4c9,136338,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot340_r17c4,136337,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot62_r3c20,136340,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot311_r15c17,136339,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot67_r4c18,136341,2016 NM_Pollination block
16NM_MchareLaini_plot241_r12c12,136342,2016 NM_Pollination block
16NM_MchareLaini_plot198_r10c13,136343,2016 NM_Pollination block
16NM_Huti-white_plot139_r7c13,136344,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot389_r19c11,136345,2016 NM_Pollination block
16NM_Huti-white_plot129_r7c3,136346,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot327_r16c10,136347,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot320_r16c17,136348,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot280_r14c15,136350,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot418_r20c3,136349,2016 NM_Pollination block
16NM_MchareLaini_plot273_r13c21,136351,2016 NM_Pollination block
16NM_MchareLaini_plot236_r12c17,136352,2016 NM_Pollination block
16NM_ITC0609-Pahang_plot168_r8c1,136357,2016 NM_Pollination block
16NM_MchareLaini_plot202_r10c9,136356,2016 NM_Pollination block
16NM_MchareLaini_plot218_r11c8,136355,2016 NM_Pollination block
16NM_MchareLaini_plot249_r12c4,136354,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot361_r18c18,136353,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot14_r1c14,136360,2016 NM_Pollination block
16NM_Huti-white_plot135_r7c9,136359,2016 NM_Pollination block
16NM_Huti-white_plot184_r9c16,136358,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot348_r17c12,136361,2016 NM_Pollination block
16NM_Huti-white_plot145_r7c19,136362,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot49_r3c7,136363,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot24_r2c19,136365,2016 NM_Pollination block
16NM_Huti-white_plot178_r9c10,136364,2016 NM_Pollination block
16NM_Huti-white_plot140_r7c14,136367,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot285_r14c10,136366,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot104_r5c20,136369,2016 NM_Pollination block
16NM_Huti-white_plot124_r6c3,136368,2016 NM_Pollination block
16NM_Huti-white_plot131_r7c5,136370,2016 NM_Pollination block
