Location,FlowerID,Genotype,Plant_Sex,Flowering_Date
Sendusu,Nakasabira_14_Phase1_R33C13,Nakasabira,female,2018-09-28
Sendusu,Kabucuragye_14_Phase1_R21C8,Kabucuragye,female,2018-10-12
Sendusu,Entukura_14_Phase1_R5C13,Entukura,female,2019-03-11
Sendusu,Enzirabahima_14_Phase1_R26C4,ITC1354,female,2018-11-05
Sendusu,Nakasabira_14_Phase2_R31C2,Nakasabira,female,2018-11-07
Sendusu,Enzirabahima_14_Phase2_R27C3,ITC1354,female,2018-11-14
Sendusu,Entukura_16_Phase3_R5C5,Entukura,female,2019-03-01
Sendusu,Enzirabahima_16_Phase3_R25C3,ITC1354,female,2018-12-06
Sendusu,Nakasabira_14_Phase2_R31C9,Nakasabira,female,2018-12-10
Sendusu,Entukura_14_Phase1_R4C18,Entukura,female,2018-10-18
Sendusu,Nakyetengu_14_Phase2_R9C10,IITA-Nakyetengu,female,2018-10-15
Sendusu,Enzirabahima_14_Phase1_R26C13,ITC1354,female,2019-02-06
Sendusu,Nfuuka_14_Phase2_R15C5,Nfuuka,female,2019-02-09
Sendusu,29275S-1_14_R8P1,29275S-1,female,2019-02-14
Sendusu,Enzirabahima_16_Phase3_R27C1,ITC1354,female,2019-02-16
Sendusu,17-OPPZebrina_R26C10_plot385,OPP Zebrina,female,2019-03-04
Sendusu,Tereza_14_Phase1_R17C8,Tereza,female,2019-02-22
Sendusu,Entukura_14_Phase1_R6C3,Entukura,female,2019-02-28
Sendusu,Nakyetengu_14_Phase1_R8C17,IITA-Nakyetengu,female,2019-01-25
Sendusu,Entukura_14_Phase1_R4C13,Entukura,female,2019-03-04
Sendusu,Kabucuragye_16_Phase3_R21C4,Kabucuragye,female,2019-03-06
Sendusu,Kabucuragye_16_Phase3_R21C4,Kabucuragye,female,2019-03-07
Sendusu,Kazirakwe_16_Phase3_R30C5,ITC1355,female,2019-03-21
Sendusu,Kabucuragye_14_Phase1_R20C17,Kabucuragye,female,2019-04-02
Sendusu,Enzirabahima_14_Phase1_R25C13,ITC1354,female,2019-04-08
Sendusu,Entukura_14_Phase1_R4C7,Entukura,female,2019-03-25
Sendusu,Kabucuragye_16_Phase3_R21C6,Kabucuragye,female,2019-03-25
Sendusu,Kabucuragye_14_Phase1_R20C4,Kabucuragye,male,2019-03-25
Sendusu,Entukura_14_Phase1_R6C11,Entukura,female,2018-10-13
Sendusu,Kazirakwe_14_Phase1_R28C6,ITC1355,female,2019-05-07
Sendusu,Entukura_16_Phase3_R6C9,Entukura,female,2019-05-13
Sendusu,Enzirabahima_14_Phase1_R25C2,ITC1354,female,2019-05-15
Sendusu,Tereza_14_Phase1_R16C17,Tereza,female,2018-11-07
Sendusu,Nakasabira_14_Phase2_R31C2,Nakasabira,female,2018-11-07
Sendusu,Tereza_14_Phase1_R18C12,Tereza,female,2018-11-16
Sendusu,Nakasabira_14_Phase2_R32C7,Nakasabira,female,2018-11-17
Sendusu,Tereza_14_Phase1_R17C10,Tereza,female,2018-11-28
Sendusu,Entukura_16_Phase3_R5C9,Entukura,female,2018-12-15
Sendusu,Nakyetengu_16_Phase3_R7C6,IITA-Nakyetengu,female,2018-12-18
Sendusu,Nakasabira_14_Phase1_R33C3,Nakasabira,female,2018-12-22
Sendusu,Kazirakwe_14_Phase2_R28C4,ITC1355,female,2018-12-27
Sendusu,Nakyetengu_14_Phase1_R8C13,IITA-Nakyetengu,female,2019-04-01
Sendusu,Enzirabahima_14_Phase1_R25C18,ITC1354,female,2018-10-30
Sendusu,Nfuuka_14_Phase1_R15C2,Nfuuka,female,2019-01-15
Sendusu,Nakyetengu_14_Phase1_R9C7,IITA-Nakyetengu,female,2019-04-02
Sendusu,29364S-2_14_R11P2,29364S-2,female,2019-01-12
Sendusu,Entukura_14_Phase1_R5C6,Entukura,female,2019-02-11
Sendusu,Tereza_16_Phase3_R16C5,Tereza,female,2019-02-06
Sendusu,29275S-1_14_R8P8,29275S-1,female,2019-02-13
Sendusu,29275S-1_14_R8P2,29275S-1,female,2019-02-19
Sendusu,Enzirabahima_16_Phase3_R26C9,ITC1354,female,2019-03-07
Sendusu,Enzirabahima_14_Phase1_R26C8,ITC1354,female,2019-03-11
Sendusu,Kabucuragye_16_Phase3_R21C6,Kabucuragye,female,2019-03-25
Sendusu,Tereza_14_Phase2_R16C7,Tereza,female,2019-04-03
Sendusu,Entukura_14_Phase1_R5C1,Entukura,female,2019-04-08
Sendusu,Enzirabahima_14_Phase1_R26C15,ITC1354,female,2019-04-06
Sendusu,Kazirakwe_14_Phase1_R28C18,ITC1355,female,2019-04-09
Sendusu,Entukura_14_Phase2_R6C5,Entukura,female,2019-04-13
Sendusu,Entukura_14_Phase1_R4C9,Entukura,female,2018-10-20
Sendusu,Enzirabahima_14_Phase1_R26C2,ITC1354,female,2019-04-15
Sendusu,Kabucuragye_14_Phase1_R19C12,Kabucuragye,female,2019-04-16
Sendusu,Kabucuragye_14_Phase1_R20C12,Kabucuragye,female,2019-04-22
Sendusu,Enzirabahima_14_Phase1_R25C4,ITC1354,female,2019-04-25
Sendusu,Kabucuragye_14_Phase1_R21C9,Kabucuragye,female,2019-04-26
Sendusu,Kazirakwe_14_Phase2_R30C4,ITC1355,female,2019-05-01
Sendusu,Nakasabira_14_Phase1_R33C5,Nakasabira,female,2019-05-02
Sendusu,Nakasabira_14_Phase2_R32C4,Nakasabira,female,2019-05-07
Sendusu,Nakyetengu_16_Phase3_R8C8,IITA-Nakyetengu,female,2019-05-13
Sendusu,Enzirabahima_14_Phase1_R27C18,ITC1354,female,2019-05-15
Sendusu,Enzirabahima_14_Phase2_R25C1,ITC1354,female,2018-10-13
Sendusu,Kabucuragye_14_Phase1_R21C10,Kabucuragye,female,2018-10-24
Sendusu,Nakasabira_14_Phase2_R32C3,Nakasabira,female,2018-10-30
Sendusu,Enzirabahima_16_Phase3_R27C7,ITC1354,female,2018-11-01
Sendusu,Enzirabahima_14_Phase1_R27C6,ITC1354,female,2018-11-16
Sendusu,Kazirakwe_16_Phase3_R28C1,ITC1355,female,2018-12-04
