.id,Crossnumber,Location,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Embryo_Rescue_Date,Good_Seeds,Number_of_Embryo_Rescued,Germination_Date,Number_of_Embryo_Germinating
1,SE201810_(155295C1/132696),Sendusu,Entukura_16_Phase3_R5C7,Entukura,1,17-8075-7_R1C3_plot3,8075-7,2018-10-05,,,,,,,,
1,SE201810_(162374C1/132566),Sendusu,29275S-1_14_R7P5,29275S-1,1,17-8075-7_R1C2_plot2,8075-7,2018-10-17,2019-02-11,2019-02-21,115,,,,,
1,SE201810_(162432C1/132315),Sendusu,29364S-2_14_R10P2,29364S-2,1,17-10969s-1_R23C1_plot331,10969S-1,2018-10-24,,,,,,,,
1,SE201810_(162490C1/132635),Sendusu,29364S-2_14_R10P4,29364S-2,1,17-7197-2_R12C2_plot167,7197-2,2018-10-30,2019-02-20,2019-02-28,97,,,,,
1,SE201810_(162504C1/132625),Sendusu,Nfuuka_14_Phase1_R13C10,Nfuuka,1,17-SH3362_R19C7_plot277,SH3362,2018-10-22,2019-01-18,,,,,,,
1,SE201810_(162514C1/132625),Sendusu,Nakyetengu_14_Phase1_R7C3,IITA-Nakyetengu,1,17-SH3362_R19C7_plot277,SH3362,2018-10-13,2019-02-08,2019-02-21,0,,,,,
1,SE201810_(162519C1/132316),Sendusu,Enzirabahima_14_Phase1_R27C10,ITC1354,1,17-8075-7_R2C1_plot16,8075-7,2018-10-27,,,,,,,,
1,SE201810_(162548C1/132624),Sendusu,Nakasabira_14_Phase1_R32C13,Nakasabira,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2018-10-23,,,,,,,,
1,SE201810_(162554C1/132697),Sendusu,Nakyetengu_14_Phase1_R7C8,IITA-Nakyetengu,1,17-SH3217_R13C5_plot185,SH3217,2018-10-26,,,,,,,,
1,SE201810_(162600C1/132348),Sendusu,Entukura_14_Phase1_R6C11,Entukura,1,17-7197-2_R11C3_plot153,7197-2,2018-10-15,,,,,,,,
1,SE201810_(162647C1/132624),Sendusu,Nakyetengu_14_Phase1_R8C5,IITA-Nakyetengu,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2018-10-29,,,,,,,,
1,SE201810_(162663C1/132624),Sendusu,Kabucuragye_14_Phase1_R21C8,Kabucuragye,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2018-10-15,,,,,,,,
1,SE201810_(162729C1/132425),Sendusu,Kazirakwe_14_Phase1_R30C6,ITC1355,1,17-9128-3_R5C1_plot61,9128-3,2018-10-22,,,,,,,,
1,SE201810_(162737C1/132441),Sendusu,Enzirabahima_14_Phase1_R26C10,ITC1354,1,17-5265-1_R8C2_plot107,TMB2X5265-1,2018-10-27,,,,,,,,
