Location,Crossnumber,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Good_Seeds,Number_of_Embryo_Rescued,Embryo_Rescue_Date,Germination_after_2_Weeks_Date,Active_after_2_Weeks,Germination_after_8_Weeks_Date,Active_after_8_Weeks
Sendusu,SE201810_(155295C1/132696),Entukura_16_Phase3_R5C7,Entukura,1,17-8075-7_R1C3_plot3,8075-7,2018-10-05,,,,,,,,,,
Sendusu,SE201810_(162374C1/132566),29275S-1_14_R7P5,29275S-1,1,17-8075-7_R1C2_plot2,8075-7,2018-10-17,2019-02-11,,,,,,,,,
Sendusu,SE201810_(162432C1/132315),29364S-2_14_R10P2,29364S-2,1,17-10969s-1_R23C1_plot331,10969S-1,2018-10-24,,,,,,,,,,
Sendusu,SE201810_(162490C1/132635),29364S-2_14_R10P4,29364S-2,1,17-7197-2_R12C2_plot167,7197-2,2018-10-30,,,,,,,,,,
Sendusu,SE201810_(162504C1/132625),Nfuuka_14_Phase1_R13C10,Nfuuka,1,17-SH3362_R19C7_plot277,SH3362,2018-10-22,2019-01-18,,,,,,,,,
Sendusu,SE201810_(162514C1/132625),Nakyetengu_14_Phase1_R7C3,IITA-Nakyetengu,1,17-SH3362_R19C7_plot277,SH3362,2018-10-13,2019-02-08,,,,,,,,,
Sendusu,SE201810_(162519C1/132316),Enzirabahima_14_Phase1_R27C10,ITC1354,1,17-8075-7_R2C1_plot16,8075-7,2018-10-27,,,,,,,,,,
Sendusu,SE201810_(162548C1/132624),Nakasabira_14_Phase1_R32C13,Nakasabira,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2018-10-23,,,,,,,,,,
Sendusu,SE201810_(162554C1/132697),Nakyetengu_14_Phase1_R7C8,IITA-Nakyetengu,1,17-SH3217_R13C5_plot185,SH3217,2018-10-26,,,,,,,,,,
Sendusu,SE201810_(162600C1/132348),Entukura_14_Phase1_R6C11,Entukura,1,17-7197-2_R11C3_plot153,7197-2,2018-10-15,,,,,,,,,,
Sendusu,SE201810_(162647C1/132624),Nakyetengu_14_Phase1_R8C5,IITA-Nakyetengu,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2018-10-29,,,,,,,,,,
Sendusu,SE201810_(162663C1/132624),Kabucuragye_14_Phase1_R21C8,Kabucuragye,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2018-10-15,,,,,,,,,,
Sendusu,SE201810_(162729C1/132425),Kazirakwe_14_Phase1_R30C6,ITC1355,1,17-9128-3_R5C1_plot61,9128-3,2018-10-22,,,,,,,,,,
Sendusu,SE201810_(162737C1/132441),Enzirabahima_14_Phase1_R26C10,ITC1354,1,17-5265-1_R8C2_plot107,TMB2X5265-1,2018-10-27,,,,,,,,,,
Sendusu,SE201810_(162750C1/132635),Nakasabira_14_Phase1_R32C17,Nakasabira,1,17-7197-2_R12C2_plot167,7197-2,2018-10-25,,,,,,,,,,
Sendusu,SE201810_(162775C1/132441),Entukura_14_Phase1_R4C17,Entukura,1,17-5265-1_R8C2_plot107,TMB2X5265-1,2018-10-12,2019-01-18,,,,,,,,,
Sendusu,SE201810_(162784C1/132697),Kazirakwe_14_Phase1_R28C15,ITC1355,1,17-SH3217_R13C5_plot185,SH3217,2018-10-27,,,,,,,,,,
Sendusu,SE201810_(162792C1/132512),Tereza_14_Phase1_R16C10,Tereza,1,17-7197-2_R12C4_plot169,7197-2,2018-10-22,,,,,,,,,,
Sendusu,SE201810_(162800C1/132610),Kabucuragye_14_Phase1_R21C10,Kabucuragye,1,17-8075-7_R1C7_plot7,8075-7,2018-10-25,,,,,,,,,,
Sendusu,SE201810_(162836C1/132307),Kazirakwe_14_Phase1_R29C17,ITC1355,1,17-8075-7_R3C2_plot32,8075-7,2018-10-11,,,,,,,,,,
Sendusu,SE201810_(162843C1/132348),Entukura_14_Phase1_R4C10,Entukura,1,17-7197-2_R11C3_plot153,7197-2,2018-10-11,,,,,,,,,,
Sendusu,SE201810_(162857C1/132625),Nfuuka_14_Phase1_R15C5,Nfuuka,1,17-SH3362_R19C7_plot277,SH3362,2018-10-25,,,,,,,,,,
Sendusu,SE201810_(162900C1/132512),Enzirabahima_14_Phase1_R25C1,ITC1354,1,17-7197-2_R12C4_plot169,7197-2,2018-10-15,,,,,,,,,,
Sendusu,SE201810_(162904C1/132709),Entukura_14_Phase1_R6C17,Entukura,1,17-SH3217_R14C1_plot196,SH3217,2018-10-24,,,,,,,,,,
Sendusu,SE201810_(162920C1/132505),Entukura_14_Phase1_R4C9,Entukura,1,17-SH3217_R13C3_plot183,SH3217,2018-10-22,2019-02-05,,,,,,,,,
Sendusu,SE201810_(162957C1/132425),Enzirabahima_14_Phase2_R25C1,ITC1354,1,17-9128-3_R5C1_plot61,9128-3,2018-10-15,,,,,,,,,,
Sendusu,SE201810_(162959C1/132498),Enzirabahima_14_Phase2_R27C5,ITC1354,1,17-9128-3_R4C1_plot46,9128-3,2018-10-22,,,,,,,,,,
Sendusu,SE201810_(162974C1/132441),Kazirakwe_14_Phase2_R29C9,ITC1355,1,17-5265-1_R8C2_plot107,TMB2X5265-1,2018-10-22,,,,,,,,,,
Sendusu,SE201810_(162995C1/132610),Entukura_14_Phase2_R4C2,Entukura,1,17-8075-7_R1C7_plot7,8075-7,2018-10-22,,,,,,,,,,
Sendusu,SE201810_(163054C1/132684),Nfuuka_14_Phase2_R14C10,Nfuuka,1,17-7197-2_R11C5_plot155,7197-2,2018-10-30,2019-02-05,,,,,,,,,
Sendusu,SE201810_(163090C1/132709),Kabucuragye_14_Phase2_R19C3,Kabucuragye,1,17-SH3217_R14C1_plot196,SH3217,2018-10-13,,,,,,,,,,
Sendusu,SE201810_(163171C1/132348),Kabucuragye_16_Phase3_R19C7,Kabucuragye,1,17-7197-2_R11C3_plot153,7197-2,2018-10-25,,,,,,,,,,
Sendusu,SE201810_(163174C1/132697),Kazirakwe_16_Phase3_R30C6,ITC1355,1,17-SH3217_R13C5_plot185,SH3217,2018-10-25,,,,,,,,,,
Sendusu,SE201810_(163220C1/132512),Entukura_16_Phase3_R5C5,Entukura,1,17-7197-2_R12C4_plot169,7197-2,2018-10-11,2019-01-18,,,,,,,,,
Sendusu,SE201810_(163240C1/132512),Kabucuragye_16_Phase3_R21C7,Kabucuragye,1,17-7197-2_R12C4_plot169,7197-2,2018-10-22,,,,,,,,,,
Sendusu,SE201810_(163244C1/132348),Kazirakwe_16_Phase3_R30C2,ITC1355,1,17-7197-2_R11C3_plot153,7197-2,2018-10-24,,,,,,,,,,
Sendusu,SE201810_(163254C1/132441),Nakyetengu_16_Phase3_R8C9,IITA-Nakyetengu,1,17-5265-1_R8C2_plot107,TMB2X5265-1,2018-10-24,,,,,,,,,,
Sendusu,SE201810_(163262C1/132505),Tereza_16_Phase3_R17C4,Tereza,1,17-SH3217_R13C3_plot183,SH3217,2018-10-26,,,,,,,,,,
Sendusu,SE201810_(163312C1/132635),Nakasabira_16_Phase3_R33C2,Nakasabira,1,17-7197-2_R12C2_plot167,7197-2,2018-10-17,,,,,,,,,,
Sendusu,SE201810_(163359C1/132512),Tereza_16_Phase3_R16C10,Tereza,1,17-7197-2_R12C4_plot169,7197-2,2018-10-10,,,,,,,,,,
Sendusu,SE201810_(163375C1/132625),Enzirabahima_16_Phase3_R25C5,ITC1354,1,17-SH3362_R19C7_plot277,SH3362,2018-10-30,2019-02-05,,,,,,,,,
Sendusu,SE201811_(162378C1/132635),25974S-17_14_R6P8,25974S-17,1,17-7197-2_R12C2_plot167,7197-2,2018-11-08,,,,,,,,,,
Sendusu,SE201811_(162412C1/132315),25974S-17_14_R5P7,25974S-17,1,17-10969s-1_R23C1_plot331,10969S-1,2018-11-27,,,,,,,,,,
Sendusu,SE201811_(162432C1/132512),29364S-2_14_R10P2,29364S-2,1,17-7197-2_R12C4_plot169,7197-2,2018-11-06,,,,,,,,,,
Sendusu,SE201811_(162478C1/132354),25974S-17_14_R6P3,25974S-17,1,17-10969s-1_R23C10_plot340,10969S-1,2018-11-17,,,,,,,,,,
Sendusu,SE201811_(162501C1/132608),Enzirabahima_14_Phase1_R25C6,ITC1354,1,17-8075-7_R3C3_plot33,8075-7,2018-11-27,,,,,,,,,,
Sendusu,SE201811_(162516C1/132566),Nakasabira_14_Phase1_R33C10,Nakasabira,1,17-8075-7_R1C2_plot2,8075-7,2018-11-08,,,,,,,,,,
Sendusu,SE201811_(162529C1/132697),Nakyetengu_14_Phase1_R9C3,IITA-Nakyetengu,1,17-SH3217_R13C5_plot185,SH3217,2018-11-16,,,,,,,,,,
Sendusu,SE201811_(162530C1/132624),Enzirabahima_14_Phase1_R26C4,ITC1354,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2018-11-08,,,,,,,,,,
Sendusu,SE201811_(162533C1/132316),Entukura_14_Phase1_R5C11,Entukura,1,17-8075-7_R2C1_plot16,8075-7,2018-11-22,,,,,,,,,,
Sendusu,SE201811_(162538C1/132709),Nfuuka_14_Phase1_R13C6,Nfuuka,1,17-SH3217_R14C1_plot196,SH3217,2018-11-21,,,,,,,,,,
Sendusu,SE201811_(162550C1/132441),Nakyetengu_14_Phase1_R8C1,IITA-Nakyetengu,1,17-5265-1_R8C2_plot107,TMB2X5265-1,2018-11-29,,,,,,,,,,
Sendusu,SE201811_(162566C1/132373),Kabucuragye_14_Phase1_R20C2,Kabucuragye,1,17-7197-2_R12C3_plot168,7197-2,2018-11-19,,,,,,,,,,
Sendusu,SE201811_(162572C1/132522),Tereza_14_Phase1_R17C4,Tereza,1,17-5265-1_R9C5_plot125,TMB2X5265-1,2018-11-27,,,,,,,,,,
Sendusu,SE201811_(162613C1/132709),Tereza_14_Phase1_R17C13,Tereza,1,17-SH3217_R14C1_plot196,SH3217,2018-11-10,,,,,,,,,,
Sendusu,SE201811_(162626C1/132379),Kabucuragye_14_Phase1_R19C14,Kabucuragye,1,17-9128-3_R4C4_plot49,9128-3,2018-11-26,,,,,,,,,,
Sendusu,SE201811_(162643C1/132617),Kazirakwe_14_Phase1_R28C17,ITC1355,1,17-7197-2_R12C14_plot179,7197-2,2018-11-24,,,,,,,,,,
Sendusu,SE201811_(162658C1/132339),Enzirabahima_14_Phase1_R27C6,ITC1354,1,17-8075-7_R2C14_plot29,8075-7,2018-11-17,,,,,,,,,,
Sendusu,SE201811_(162659C1/132697),Enzirabahima_14_Phase1_R26C14,ITC1354,1,17-SH3217_R13C5_plot185,SH3217,2018-11-10,,,,,,,,,,
Sendusu,SE201811_(162666C1/132635),Enzirabahima_14_Phase1_R27C3,ITC1354,1,17-7197-2_R12C2_plot167,7197-2,2018-11-16,2019-02-08,,,,,,,,,
Sendusu,SE201811_(162675C1/132640),Kazirakwe_14_Phase1_R28C14,ITC1355,1,17-5265-1_R9C3_plot123,TMB2X5265-1,2018-11-22,,,,,,,,,,
Sendusu,SE201811_(162677C1/132522),Nakasabira_14_Phase1_R31C2,Nakasabira,1,17-5265-1_R9C5_plot125,TMB2X5265-1,2018-11-24,,,,,,,,,,
Sendusu,SE201811_(162691C1/132452),Kazirakwe_14_Phase1_R30C13,ITC1355,1,17-9128-3_R4C7_plot52,9128-3,2018-11-24,2019-02-05,,,,,,,,,
Sendusu,SE201811_(162708C1/132624),Entukura_14_Phase1_R4C6,Entukura,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2018-11-01,,,,,,,,,,
Sendusu,SE201811_(162709C1/132310),Entukura_14_Phase1_R5C18,Entukura,1,17-SH3217_R14C11_plot206,SH3217,2018-11-26,,,,,,,,,,
Sendusu,SE201811_(162721C1/132505),Tereza_14_Phase1_R16C9,Tereza,1,17-SH3217_R13C3_plot183,SH3217,2018-11-15,2019-02-11,,,,,,,,,
Sendusu,SE201811_(162724C1/132566),Nakasabira_14_Phase1_R31C8,Nakasabira,1,17-8075-7_R1C2_plot2,8075-7,2018-11-05,,,,,,,,,,
Sendusu,SE201811_(162736C1/132484),Tereza_14_Phase1_R17C10,Tereza,1,17-7197-2_R12C12_plot177,7197-2,2018-11-29,,,,,,,,,,
Sendusu,SE201811_(162752C1/132608),Enzirabahima_14_Phase1_R26C6,ITC1354,1,17-8075-7_R3C3_plot33,8075-7,2018-11-26,,,,,,,,,,
Sendusu,SE201811_(162755C1/132649),Enzirabahima_14_Phase1_R25C5,ITC1354,1,17-9128-3_R4C11_plot56,9128-3,2018-11-14,,,,,,,,,,
Sendusu,SE201811_(162769C1/132617),Kabucuragye_14_Phase1_R20C13,Kabucuragye,1,17-7197-2_R12C14_plot179,7197-2,2018-11-05,2019-02-08,,,,,,,,,
Sendusu,SE201811_(162803C1/132707),Tereza_14_Phase1_R18C14,Tereza,1,17-8075-7_R3C4_plot34,8075-7,2018-11-26,,,,,,,,,,
Sendusu,SE201811_(162805C1/132697),Kazirakwe_14_Phase1_R29C2,ITC1355,1,17-SH3217_R13C5_plot185,SH3217,2018-11-22,,,,,,,,,,
Sendusu,SE201811_(162820C1/132610),Tereza_14_Phase1_R16C8,Tereza,1,17-8075-7_R1C7_plot7,8075-7,2018-11-01,,,,,,,,,,
Sendusu,SE201811_(162823C1/132403),Nakasabira_14_Phase1_R33C14,Nakasabira,1,17-8075-7_R1C8_plot8,8075-7,2018-11-17,2019-02-05,,,,,,,,,
Sendusu,SE201811_(162831C1/132610),Tereza_14_Phase1_R16C17,Tereza,1,17-8075-7_R1C7_plot7,8075-7,2018-11-08,2019-01-18,,,,,,,,,
