FemalePlotName,Crossnumber_1,Crossnumber_2,Crossnumber_3,number_crosses
Nakasabira_14_Phase1_R33C10,SE201811_(162516C1/132566),SE201905_(162516C2/132590),,2
Tereza_14_Phase1_R17C13,SE201811_(162613C1/132709),,,1
Nakyetengu_14_Phase1_R8C2,SE201812_(162623C1/132522),,,1
Enzirabahima_14_Phase1_R27C6,SE201811_(162658C1/132339),,,1
Nakasabira_16_Phase3_R32C1,SE201811_(163331C1/132649),,,1
Entukura_14_Phase1_R5C18,SE201811_(162709C1/132310),,,1
Enzirabahima_14_Phase1_R25C6,SE201811_(162501C1/132608),,,1
Entukura_14_Phase2_R4C10,SE201812_(163073C1/132608),,,1
Entukura_14_Phase1_R6C13,SE201812_(162577C1/132624),,,1
Tereza_14_Phase1_R18C9,SE201812_(162847C1/132330),,,1
Kazirakwe_14_Phase1_R30C8,SE201901_(162517C1/132348),,,1
Entukura_16_Phase3_R5C5,SE201903_(163220C1/132374),SE201810_(163220C1/132512),,2
Entukura_14_Phase1_R6C6,SE201901_(162701C1/132379),,,1
Entukura_14_Phase1_R5C5,SE201902_(162592C1/132708),,,1
Entukura_16_Phase3_R6C1,SE201902_(163289C1/132383),,,1
Kabucuragye_14_Phase1_R21C3,SE201902_(162834C1/132494),,,1
Nakyetengu_14_Phase2_R8C8,SE201903_(163082C1/132594),,,1
Nfuuka_14_Phase1_R15C12,SE201903_(C1/132326),SE201811_(162891C1/132512),,2
Kabucuragye_14_Phase1_R19C1,SE201903_(162692C1/132467),,,1
Enzirabahima_14_Phase2_R26C4,SE201903_(163167C1/132604),,,1
Nakasabira_14_Phase1_R32C2,SE201903_(162722C1/132348),,,1
Nakasabira_14_Phase1_R32C17,SE201903_(162750C2/132533),SE201810_(162750C1/132635),,2
Tereza_14_Phase1_R16C6,SE201904_(162571C1/132329),,,1
Enzirabahima_14_Phase1_R25C1,SE201904_(162900C2/132466),SE201810_(162900C1/132512),,2
Kabucuragye_14_Phase1_R20C12,SE201904_(162621C1/132439),,,1
Entukura_14_Phase1_R4C7,SE201903_(162824C1/132316),,,1
Nakasabira_14_Phase1_R33C5,SE201905_(162853C1/132495),,,1
