Location,FlowerID,Genotype,Plant_Sex,Flowering_Date
Sendusu,Kazirakwe_14_Phase1_R28C6,ITC1355,female,2019-05-07
Sendusu,Entukura_16_Phase3_R6C9,Entukura,female,2019-05-13
Sendusu,Nakasabira_14_Phase2_R32C4,Nakasabira,female,2019-05-07
Sendusu,Nakyetengu_16_Phase3_R8C8,IITA-Nakyetengu,female,2019-05-13
Sendusu,Nakyetengu_14_Phase1_R9C17,IITA-Nakyetengu,female,2019-05-13
Sendusu,Entukura_14_Phase1_R4C16,Entukura,female,2019-05-14
Sendusu,Enzirabahima_16_Phase3_R25C5,ITC1354,female,2019-05-08
Sendusu,Kazirakwe_16_Phase3_R29C9,ITC1355,female,2019-05-09
Sendusu,Nakasabira_14_Phase2_R33C7,Nakasabira,female,2019-05-09
Sendusu,Nfuuka_14_Phase2_R14C8,Nfuuka,female,2019-05-11
Sendusu,Tereza_16_Phase3_R17C1,Tereza,female,2019-05-11
Sendusu,29275S-1_14_R7P6,29275S-1,female,2019-05-11
Sendusu,25974S-17_14_R4P6,25974S-17,female,2019-05-11
Sendusu,Kabucuragye_14_Phase1_R20C1,Kabucuragye,female,2019-05-13
