Location,Crossnumber,Repeat_Pollination_Date
Sendusu,SE201903_(162544C1/132452),2019-03-19
Sendusu,SE201903_(162949C1/132640),2019-03-20
Sendusu,SE201903_(162775C2/132316),2019-03-20
Sendusu,SE201903_(162775C2/132316),2019-03-22
Sendusu,SE201903_(162775C2/132316),2019-03-23
Sendusu,SE201903_(162824C1/132316),2019-03-27
Sendusu,SE201903_(162824C1/132316),2019-03-28
Sendusu,SE201903_(162807C1/132383),2019-03-29
Sendusu,SE201904_(162653C1/132355),2019-04-04
Sendusu,SE201904_(162653C1/132355),2019-04-05
Sendusu,SE201904_(162653C1/132355),2019-04-06
Sendusu,SE201904_(162868C1/132705),2019-04-10
Sendusu,SE201904_(162868C1/132705),2019-04-11
Sendusu,SE201904_(162820C2/132308),2019-04-13
Sendusu,SE201904_(162764C1/132522),2019-04-17
Sendusu,SE201904_(162920C2/132412),2019-04-18
Sendusu,SE201904_(162920C2/132412),2019-04-19
Sendusu,SE201904_(162904C2/132522),2019-04-20
Sendusu,SE201904_(162453C1/132614),2019-04-24
Sendusu,SE201904_(163361C1/132355),2019-04-26
Sendusu,SE201904_(162920C2/132428),2019-04-27
Sendusu,SE201904_(162920C2/132428),2019-04-29
Sendusu,SE201904_(162920C2/132428),2019-04-30
Sendusu,SE201904_(162602C1/132701),2019-05-01
Sendusu,SE201904_(162602C1/132701),2019-05-02
Sendusu,SE201904_(162602C1/132701),2019-05-03
Sendusu,SE201904_(162602C1/132701),2019-05-04
Sendusu,SE201905_(162825C1/132490),2019-05-06
Sendusu,SE201905_(162560C2/132330),2019-05-09
Sendusu,SE201905_(162560C2/132330),2019-05-10
Sendusu,SE201905_(162509C1/132358),2019-05-16
Sendusu,SE201905_(162516C2/132590),2019-05-17
Sendusu,SE201903_(163015C1/132467),2019-03-20
Sendusu,SE201903_(162775C2/132316),2019-03-21
Sendusu,SE201903_(163363C1/132604),2019-03-22
Sendusu,SE201903_(163363C1/132604),2019-03-23
Sendusu,SE201903_(162807C1/132383),2019-03-27
Sendusu,SE201903_(162807C1/132383),2019-03-28
Sendusu,SE201903_(162783C1/132701),2019-03-29
Sendusu,SE201903_(162807C1/132383),2019-04-30
Sendusu,SE201904_(162913C1/132398),2019-04-03
Sendusu,SE201904_(162913C1/132398),2019-04-04
Sendusu,SE201904_(162913C1/132398),2019-04-05
Sendusu,SE201904_(162913C1/132398),2019-04-06
Sendusu,SE201904_(162571C1/132329),2019-04-08
Sendusu,SE201904_(162571C1/132329),2019-04-09
Sendusu,SE201904_(162887C1/132548),2019-04-13
Sendusu,SE201904_(162851C2/132507),2019-04-18
Sendusu,SE201904_(162764C1/132522),2019-04-19
Sendusu,SE201904_(162637C1/132512),2019-04-20
Sendusu,SE201904_(162904C2/132522),2019-04-22
Sendusu,SE201904_(162647C2/132308),2019-04-25
Sendusu,SE201904_(162510C1/132696),2019-04-26
Sendusu,SE201904_(162510C1/132696),2019-04-27
Sendusu,SE201905_(162825C1/132490),2019-05-03
Sendusu,SE201905_(162825C1/132490),2019-05-04
Sendusu,SE201905_(162831C2/132625),2019-05-06
Sendusu,SE201905_(162831C2/132625),2019-05-07
Sendusu,SE201905_(162831C2/132625),2019-05-08
Sendusu,SE201905_(162831C2/132625),2019-05-09
Sendusu,SE201905_(162560C2/132330),2019-05-11
Sendusu,SE201905_(162644C1/132604),2019-05-15
Sendusu,SE201905_(162509C1/132358),2019-05-17
Sendusu,SE201905_(162516C2/132590),2019-05-18
Sendusu,SE201905_(162551C1/132425),2019-05-23
Sendusu,SE201903_(162949C1/132640),2019-03-19
Sendusu,SE201903_(163075C1/132466),2019-03-20
Sendusu,SE201903_(163075C1/132466),2019-03-21
Sendusu,SE201903_(162373C1/132466),2019-03-22
Sendusu,SE201903_(162373C1/132466),2019-03-23
Sendusu,SE201903_(162722C1/132348),2019-03-27
Sendusu,SE201903_(162649C1/132548),2019-03-29
Sendusu,SE201903_(162807C1/132383),2019-04-01
Sendusu,SE201904_(162874C1/132466),2019-04-04
Sendusu,SE201904_(162874C1/132466),2019-04-05
Sendusu,SE201904_(162874C1/132466),2019-04-06
Sendusu,SE201904_(162809C1/132410),2019-04-08
Sendusu,SE201904_(162809C1/132410),2019-04-09
Sendusu,SE201904_(162887C1/132548),2019-04-10
Sendusu,SE201904_(162887C1/132548),2019-04-11
Sendusu,SE201904_(162639C1/132623),2019-04-13
Sendusu,SE201904_(162851C2/132507),2019-04-17
Sendusu,SE201904_(162851C2/132507),2019-04-19
Sendusu,SE201904_(162637C1/132512),2019-04-22
Sendusu,SE201904_(162904C2/132522),2019-04-23
Sendusu,SE201904_(162647C2/132308),2019-04-24
Sendusu,SE201904_(162510C1/132696),2019-04-25
Sendusu,SE201904_(162647C2/132308),2019-04-26
Sendusu,SE201904_(162504C2/132608),2019-04-27
Sendusu,SE201904_(162760C1/132490),2019-04-29
Sendusu,SE201904_(162760C1/132490),2019-04-30
Sendusu,SE201905_(162831C2/132625),2019-05-04
Sendusu,SE201905_(162660C1/132448),2019-05-07
Sendusu,SE201905_(162660C1/132448),2019-05-08
Sendusu,SE201905_(162660C1/132448),2019-05-09
Sendusu,SE201905_(162660C1/132448),2019-05-10
Sendusu,SE201905_(162509C1/132358),2019-05-18
Sendusu,SE201905_(162516C2/132590),2019-05-20
Sendusu,SE201905_(163207C1/132466),2019-05-23
Sendusu,SE201903_(163075C1/132466),2019-03-19
Sendusu,SE201903_(162405C1/132571),2019-03-20
Sendusu,SE201903_(163015C1/132467),2019-03-21
Sendusu,SE201903_(162895C1/132439),2019-03-22
Sendusu,SE201903_(162750C2/132533),2019-03-29
Sendusu,SE201904_(162830C1/132344),2019-04-04
Sendusu,SE201904_(162830C1/132344),2019-04-05
Sendusu,SE201904_(162571C1/132329),2019-04-06
Sendusu,SE201904_(162887C1/132548),2019-04-12
Sendusu,SE201904_(162645C1/132361),2019-04-17
Sendusu,SE201904_(162645C1/132361),2019-04-18
Sendusu,SE201904_(162785C1/132604),2019-04-20
Sendusu,SE201904_(162844C1/132466),2019-04-22
Sendusu,SE201904_(162844C1/132466),2019-04-23
Sendusu,SE201904_(162872C1/132701),2019-04-29
Sendusu,SE201904_(162872C1/132701),2019-04-30
Sendusu,SE201904_(162760C1/132490),2019-05-01
Sendusu,SE201904_(162760C1/132490),2019-05-02
