.id,Location,Crossnumber,Repeat_Pollination_Date
1,Sendusu,SE201810_(162374C1/132566),2018-10-18
1,Sendusu,SE201810_(162432C1/132315),2018-10-26
1,Sendusu,SE201810_(162490C1/132635),2018-11-03
1,Sendusu,SE201810_(162504C1/132625),2018-10-23
1,Sendusu,SE201810_(162514C1/132625),2018-10-16
1,Sendusu,SE201810_(162548C1/132624),2018-10-26
1,Sendusu,SE201810_(162554C1/132697),2018-10-31
1,Sendusu,SE201810_(162600C1/132348),2018-10-17
1,Sendusu,SE201810_(162729C1/132425),2018-10-23
1,Sendusu,SE201810_(162737C1/132441),2018-10-30
1,Sendusu,SE201810_(162750C1/132635),2018-10-29
1,Sendusu,SE201810_(162775C1/132441),2018-10-13
1,Sendusu,SE201810_(162784C1/132697),2018-10-31
1,Sendusu,SE201810_(162792C1/132512),2018-10-26
1,Sendusu,SE201810_(162800C1/132610),2018-10-26
1,Sendusu,SE201810_(162836C1/132307),2018-10-12
1,Sendusu,SE201810_(162843C1/132348),2018-10-12
1,Sendusu,SE201810_(162857C1/132625),2018-10-26
1,Sendusu,SE201810_(162900C1/132512),2018-10-17
1,Sendusu,SE201810_(162904C1/132709),2018-10-27
1,Sendusu,SE201810_(162920C1/132505),2018-10-23
1,Sendusu,SE201810_(162957C1/132425),2018-10-17
1,Sendusu,SE201810_(162959C1/132498),2018-10-26
1,Sendusu,SE201810_(162974C1/132441),2018-10-23
1,Sendusu,SE201810_(162995C1/132610),2018-10-25
1,Sendusu,SE201810_(163054C1/132684),2018-11-03
1,Sendusu,SE201810_(163090C1/132709),2018-10-17
1,Sendusu,SE201810_(163171C1/132348),2018-10-29
1,Sendusu,SE201810_(163174C1/132697),2018-10-29
1,Sendusu,SE201810_(163220C1/132512),2018-10-12
1,Sendusu,SE201810_(163240C1/132512),2018-10-26
1,Sendusu,SE201810_(163244C1/132348),2018-10-26
1,Sendusu,SE201810_(163254C1/132441),2018-10-26
1,Sendusu,SE201810_(163262C1/132505),2018-10-27
1,Sendusu,SE201810_(163312C1/132635),2018-10-18
1,Sendusu,SE201810_(163359C1/132512),2018-10-11
1,Sendusu,SE201810_(163375C1/132625),2018-11-01
1,Sendusu,SE201811_(162378C1/132635),2018-11-10
1,Sendusu,SE201811_(162432C1/132512),2018-11-13
1,Sendusu,SE201811_(162501C1/132608),2018-11-28
1,Sendusu,SE201811_(162516C1/132566),2018-11-12
1,Sendusu,SE201811_(162529C1/132697),2018-11-17
1,Sendusu,SE201811_(162530C1/132624),2018-11-09
1,Sendusu,SE201811_(162533C1/132316),2018-11-23
1,Sendusu,SE201811_(162538C1/132709),2018-11-22
1,Sendusu,SE201811_(162550C1/132441),2018-11-30
1,Sendusu,SE201811_(162566C1/132373),2018-11-27
1,Sendusu,SE201811_(162572C1/132522),2018-11-28
1,Sendusu,SE201811_(162613C1/132709),2018-11-15
1,Sendusu,SE201811_(162626C1/132379),2018-11-27
1,Sendusu,SE201811_(162643C1/132617),2018-11-26
1,Sendusu,SE201811_(162658C1/132339),2018-11-19
1,Sendusu,SE201811_(162659C1/132697),2018-11-12
1,Sendusu,SE201811_(162666C1/132635),2018-11-17
1,Sendusu,SE201811_(162675C1/132640),2018-11-23
1,Sendusu,SE201811_(162677C1/132522),2018-11-26
1,Sendusu,SE201811_(162708C1/132624),2018-11-02
1,Sendusu,SE201811_(162709C1/132310),2018-11-27
1,Sendusu,SE201811_(162721C1/132505),2018-11-16
1,Sendusu,SE201811_(162724C1/132566),2018-11-06
1,Sendusu,SE201811_(162736C1/132484),2018-11-30
1,Sendusu,SE201811_(162752C1/132608),2018-11-27
1,Sendusu,SE201811_(162755C1/132649),2018-11-15
1,Sendusu,SE201811_(162769C1/132617),2018-11-06
1,Sendusu,SE201811_(162803C1/132707),2018-11-27
1,Sendusu,SE201811_(162820C1/132610),2018-11-02
1,Sendusu,SE201811_(162823C1/132403),2018-11-19
1,Sendusu,SE201811_(162831C1/132610),2018-11-12
1,Sendusu,SE201811_(162860C1/132617),2018-11-22
1,Sendusu,SE201811_(162871C1/132498),2018-11-09
1,Sendusu,SE201811_(162891C1/132512),2018-11-15
1,Sendusu,SE201811_(162893C1/132348),2018-11-27
1,Sendusu,SE201811_(162894C1/132512),2018-11-27
1,Sendusu,SE201811_(162897C1/132608),2018-11-12
1,Sendusu,SE201811_(162926C1/132684),2018-11-08
1,Sendusu,SE201811_(162928C1/132709),2018-11-07
1,Sendusu,SE201811_(162937C1/132650),2018-11-28
1,Sendusu,SE201811_(162956C1/132348),2018-11-28
1,Sendusu,SE201811_(162979C1/132475),2018-11-28
1,Sendusu,SE201811_(162984C1/132697),2018-11-29
1,Sendusu,SE201811_(162990C1/132625),2018-11-12
1,Sendusu,SE201811_(163004C1/132625),2018-11-20
1,Sendusu,SE201811_(163028C1/132649),2018-11-12
1,Sendusu,SE201811_(163052C1/132403),2018-11-20
1,Sendusu,SE201811_(163100C1/132441),2018-11-16
1,Sendusu,SE201811_(163105C1/132330),2018-11-12
1,Sendusu,SE201811_(163122C1/132696),2018-11-26
1,Sendusu,SE201811_(163125C1/132505),2018-11-20
1,Sendusu,SE201811_(163140C1/132635),2018-11-22
1,Sendusu,SE201811_(163151C1/132649),2018-11-22
1,Sendusu,SE201811_(163189C1/132514),2018-11-19
1,Sendusu,SE201811_(163210C1/132425),2018-11-06
1,Sendusu,SE201811_(163221C1/132403),2018-11-24
1,Sendusu,SE201811_(163252C1/132348),2018-11-24
1,Sendusu,SE201811_(163257C1/132566),2018-11-15
1,Sendusu,SE201811_(163288C1/132566),2018-11-12
1,Sendusu,SE201811_(163290C1/132498),2018-11-16
1,Sendusu,SE201811_(163327C1/132522),2018-11-10
1,Sendusu,SE201811_(163331C1/132649),2018-11-24
1,Sendusu,SE201811_(163332C1/132505),2018-11-10
1,Sendusu,SE201811_(163370C1/132610),2018-11-06
1,Sendusu,SE201811_(163373C1/132425),2018-11-07
1,Sendusu,SE201811_(163404C1/132348),2018-11-14
1,Sendusu,SE201811_(163407C1/132348),2018-11-12
1,Sendusu,SE201812_(162398C1/132316),2018-12-20
1,Sendusu,SE201812_(162428C1/132354),2018-12-18
1,Sendusu,SE201812_(162494C1/132684),2018-12-14
1,Sendusu,SE201812_(162500C1/132625),2018-12-21
1,Sendusu,SE201812_(162526C1/132684),2018-12-04
1,Sendusu,SE201812_(162681C1/132316),2018-12-05
1,Sendusu,SE201812_(162682C1/132707),2018-12-08
1,Sendusu,SE201812_(162763C1/132684),2018-12-15
1,Sendusu,SE201812_(162851C1/132707),2018-12-04
1,Sendusu,SE201812_(162892C1/132498),2018-12-08
1,Sendusu,SE201812_(162971C1/132332),2018-12-21
1,Sendusu,SE201812_(162992C1/132484),2018-12-21
1,Sendusu,SE201812_(163073C1/132608),2018-12-17
1,Sendusu,SE201812_(163113C1/132505),2018-12-17
1,Sendusu,SE201812_(163146C1/132452),2018-12-15
1,Sendusu,SE201812_(163215C1/132484),2018-12-07
1,Sendusu,SE201812_(163253C1/132379),2018-12-18
1,Sendusu,SE201812_(163287C1/132697),2018-12-14
1,Sendusu,SE201812_(163345C1/132332),2018-12-18
1,Sendusu,SE201812_(163357C1/132381),2018-12-20
1,Sendusu,SE201812_(163391C1/132709),2018-12-21
1,Sendusu,SE201901_(162520C1/132348),2019-01-18
1,Sendusu,SE201901_(162528C1/132316),2019-01-15
1,Sendusu,SE201901_(162589C1/132635),2019-01-16
1,Sendusu,SE201901_(162605C1/132374),2019-01-19
1,Sendusu,SE201901_(162614C1/132709),2019-01-15
1,Sendusu,SE201901_(162627C1/132640),2019-01-18
1,Sendusu,SE201901_(162701C1/132379),2019-01-18
1,Sendusu,SE201901_(162758C1/132709),2019-01-19
1,Sendusu,SE201901_(162776C1/132696),2019-01-07
1,Sendusu,SE201901_(162786C1/132635),2019-01-15
1,Sendusu,SE201901_(162814C1/132379),2019-01-18
1,Sendusu,SE201901_(162921C1/132316),2019-01-18
1,Sendusu,SE201901_(163002C1/132635),2019-01-16
1,Sendusu,SE201901_(163080C1/132576),2019-01-19
1,Sendusu,SE201901_(163145C1/132624),2019-01-19
1,Sendusu,SE201902_(162565C1/132361),2019-02-13
1,Sendusu,SE201902_(162579C1/132594),2019-02-13
1,Sendusu,SE201902_(162592C1/132708),2019-02-11
1,Sendusu,SE201902_(162601C1/132441),2019-02-15
1,Sendusu,SE201902_(162609C1/132640),2019-02-27
1,Sendusu,SE201902_(162633C1/132308),2019-02-27
1,Sendusu,SE201902_(162657C1/132386),2019-02-14
1,Sendusu,SE201902_(162667C1/132466),2019-02-25
1,Sendusu,SE201902_(162707C1/132507),2019-02-08
1,Sendusu,SE201902_(162713C1/132452),2019-02-11
1,Sendusu,SE201902_(162720C1/132374),2019-02-11
1,Sendusu,SE201902_(162730C1/132470),2019-02-13
1,Sendusu,SE201902_(162741C1/132612),2019-02-13
1,Sendusu,SE201902_(162782C1/132393),2019-02-11
1,Sendusu,SE201902_(162834C1/132494),2019-02-21
1,Sendusu,SE201902_(162869C1/132552),2019-02-25
1,Sendusu,SE201902_(162885C1/132374),2019-02-22
1,Sendusu,SE201902_(162888C1/132393),2019-02-13
1,Sendusu,SE201902_(162898C1/132624),2019-02-08
1,Sendusu,SE201902_(162941C1/132680),2019-02-12
1,Sendusu,SE201902_(162977C1/132452),2019-02-12
1,Sendusu,SE201902_(162996C1/132640),2019-02-26
1,Sendusu,SE201902_(163060C1/132680),2019-02-11
1,Sendusu,SE201902_(163068C1/132707),2019-02-27
1,Sendusu,SE201902_(163092C1/132447),2019-02-13
1,Sendusu,SE201902_(163170C1/132355),2019-02-14
1,Sendusu,SE201902_(163289C1/132383),2019-02-12
1,Sendusu,SE201902_(163359C1/132624),2019-02-23
1,Sendusu,SE201903_(162422C1/132467),2019-03-07
1,Sendusu,SE201903_(162473C1/132575),2019-03-07
1,Sendusu,SE201903_(162555C1/132392),2019-03-06
1,Sendusu,SE201903_(162631C1/132548),2019-03-04
1,Sendusu,SE201903_(162651C1/132507),2019-03-04
