Location,Crossnumber,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Good_Seeds,Number_of_Embryo_Rescued,Embryo_Rescue_Date,Germination_after_2_Weeks_Date,Active_after_2_Weeks,Germination_after_8_Weeks_Date,Active_after_8_Weeks,Days_to_Maturity,Days_in_ripening_shed
Arusha,BT201804_(136492C2/136283),16NM_ITC1455-MchareMlelembo_plot363_r18c16,ITC1455-Mchare Mlelembo,2,16NM_ITC0609-Pahang_plot127_r7c1,ITC0609 Pahang,2018-04-07,2018-09-11,2018-09-27,0,,,,,,,,157,16
Arusha,BT201804_(136513C2/136328),16NM_ITC1455-MchareMlelembo_plot398_r19c20,ITC1455-Mchare Mlelembo,2,16NM_ITC0609-Pahang_plot211_r11c1,ITC0609 Pahang,2018-04-06,2018-09-11,2018-10-08,0,,,,,,,,158,27
Arusha,BT201804_(136514C2/136328),16NM_ITC1455-MchareMlelembo_plot384_r19c6,ITC1455-Mchare Mlelembo,2,16NM_ITC0609-Pahang_plot211_r11c1,ITC0609 Pahang,2018-04-06,2018-09-26,2018-10-10,0,,,,,,,,173,14
Arusha,BT201804_(136642C2/136599),16NM_ITC1455-MchareMlelembo_plot394_r19c16,ITC1455-Mchare Mlelembo,2,16NM_ITC0712-AAcvRose_plot126_r6c1,ITC0712,2018-04-06,2018-10-02,2018-10-11,0,,,,,,,,179,9
Arusha,BT201804_(136650C2/136460),16NM_Huti-white_plot149_r8c20,Huti-white,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-04-07,,,,,,,,,,,,
Arusha,NM201804_(136345C2/136328),16NM_ITC1455-MchareMlelembo_plot389_r19c11,ITC1455-Mchare Mlelembo,2,16NM_ITC0609-Pahang_plot211_r11c1,ITC0609 Pahang,2018-04-09,2018-10-02,2018-10-11,0,,,,,,,,176,9
Arusha,NM201804_(136468C2/136357),16NM_ITC1460-IjihuInkundu_plot300_r15c6,ITC1460,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-04-12,2018-11-08,2018-11-14,0,3,3,2018-12-05,2019-01-02,1,,,210,6
Arusha,NM201804_(136523C2/136490),16NM_ITC1468-Kahuti_plot44_r3c2,ITC1468,2,16NM_ITC0712-AAcvRose_plot42_r2c1,ITC0712,2018-04-23,,,,,,,,,,,,
Arusha,NM201804_(136664C2/136490),16NM_ITC1455-MchareMlelembo_plot365_r18c14,ITC1455-Mchare Mlelembo,2,16NM_ITC0712-AAcvRose_plot42_r2c1,ITC0712,2018-04-12,2018-11-09,2018-11-14,0,,,,,,,,211,5
Arusha,NM201804_(136697C2/136357),16NM_ITC1468-Kahuti_plot53_r3c11,ITC1468,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-04-16,2018-09-11,2018-09-27,0,,,,,,,,148,16
Arusha,NM201804_389,16NM_Huti-white_plot714r34c1,Huti-white,,"",SH3142,2018-04-18,2018-10-22,,,,,,,,,,187,
Arusha,NM201804_396,16NM_Huti-white_plot673r33c1,Huti-white,,"",SH3142,2018-04-23,2018-11-08,2018-11-14,0,,,,,,,,199,6
Arusha,NM201805_(136302C2/136460),16NM_ITC1455-MchareMlelembo_plot368_r18c11,ITC1455-Mchare Mlelembo,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-05-09,2018-10-17,,,,,,,,,,161,
Arusha,NM201805_(136316C2/136460),16NM_ITC1460-IjihuInkundu_plot292_r14c3,ITC1460,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-05-18,,,,,,,,,,,,
Arusha,NM201805_(136418C2/136460),16NM_ITC1455-MchareMlelembo_plot377_r18c2,ITC1455-Mchare Mlelembo,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-05-14,2018-09-26,2018-10-11,0,,,,,,,,135,15
Arusha,NM201805_(136440C2/136460),16NM_ITC1468-Kahuti_plot39_r2c4,ITC1468,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-05-09,2018-11-06,2018-11-14,0,,,,,,,,181,8
Arusha,NM201805_(136441C2/136460),16NM_ITC1468-Kahuti_plot64_r4c21,ITC1468,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-05-22,,,,,,,,,,,,
Arusha,NM201805_(136456C2/136460),16NM_Huti-white_plot188_r9c20,Huti-white,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-05-31,,,,,,,,,,,,
Arusha,NM201805_(136491C2/136460),16NM_ITC1468-Kahuti_plot22_r2c21,ITC1468,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-05-22,,,,,,,,,,,,
Arusha,NM201805_(136494C2/136357),16NM_ITC1455-MchareMlelembo_plot399_r19c21,ITC1455-Mchare Mlelembo,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-05-22,2018-11-05,2018-11-14,0,,,,,,,,167,9
Arusha,NM201805_(136532C2/136460),16NM_ITC1468-Kahuti_plot20_r1c20,ITC1468,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-05-09,,,,,,,,,,,,
Arusha,NM201805_(136532C3/136490),16NM_ITC1468-Kahuti_plot20_r1c20,ITC1468,3,16NM_ITC0712-AAcvRose_plot42_r2c1,ITC0712,2018-05-03,,,,,,,,,,,,
Arusha,NM201805_(136603C2/136357),16NM_ITC1455-MchareMlelembo_plot369_r18c10,ITC1455-Mchare Mlelembo,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-05-29,,,,,,,,,,,,
Arusha,NM201805_(136654C2/136460),16NM_ITC1455-MchareMlelembo_plot406_r20c15,ITC1455-Mchare Mlelembo,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-05-14,2018-10-02,2018-10-11,0,,,,,,,,141,9
Arusha,NM201805_(136667C2/136357),16NM_ITC1468-Kahuti_plot70_r4c15,ITC1468,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-05-22,,,,,,,,,,,,
Arusha,NM201805_(136718C2/136460),16NM_ITC1468-Kahuti_plot38_r2c5,ITC1468,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-05-18,2018-11-19,,,,,,,,,,185,
Arusha,NM201805_402,16NM_Huti-white_plot84r4c1,Huti-white,,"",SH3142,2018-05-01,2018-11-08,2018-11-14,0,,,,,,,,191,6
Arusha,NM201805_407,16NM_Huti-white_plot631r31c1,Huti-white,,"",SH3142,2018-05-08,2018-10-22,2018-11-07,0,,,,,,,,167,16
Arusha,NM201805_408,16NM_Huti-white_plot43r3c1,Huti-white,,"",SH3142,2018-05-09,2018-10-22,,,,,,,,,,166,
Arusha,NM201805_410,16NM_Huti-white_plot294r14c1,Huti-white,,"",SH3142,2018-05-09,2018-10-31,2018-11-07,0,,,,,,,,175,7
Arusha,NM201805_411,16NM_Huti-white_plot715r35c1,Huti-white,,"",ITC0249 Calcutta 4,2018-05-09,2018-10-22,2018-11-01,1,1,1,2018-12-05,,,,,166,10
Arusha,NM201805_412,16NM_Huti-white_plot253r13c1,Huti-white,,"",SH3142,2018-05-14,2018-10-22,2018-11-15,1,0,0,2018-11-13,,,,,161,24
Arusha,NM201805_413,16NM_Huti-white_plot462r22c1,Huti-white,,"",SH3142,2018-05-14,2018-10-22,,,,,,,,,,161,
Arusha,NM201805_414,16NM_Huti-white_plot798r38c1,Huti-white,,"",SH3142,2018-05-14,2018-10-22,,,,,,,,,,161,
Arusha,NM201805_421,16NM_Huti-white_plot295r15c1,Huti-white,,"",SH3142,2018-05-17,2018-11-02,,,,,,,,,,169,
Arusha,NM201805_422,16NM_Huti-white_plot587r28c2,Huti-white,,"",ITC0253 Borneo,2018-05-18,2018-12-04,2018-12-13,0,,,,,,,,200,9
Arusha,NM201805_428,16NM_Huti-white_plot126r6c1,Huti-white,,"",SH3142,2018-05-22,2018-11-08,,,,,,,,,,170,
Arusha,NM201805_429,16NM_Huti-white_plot169r9c1,Huti-white,,"",SH3142,2018-05-22,2018-11-08,2018-11-14,0,,,,,,,,170,6
Arusha,NM201805_432,16NM_Huti-white_plot168r8c1,Huti-white,,"",SH3142,2018-05-25,2018-12-04,2018-12-13,0,,,,,,,,193,9
Arusha,NM201805_433,16NM_Huti-white_plot210r10c1,Huti-white,,"",ITC0249 Calcutta 4,2018-05-25,2018-10-31,2018-11-14,0,,,,,,,,159,14
Arusha,NM201805_436,16NM_Huti-white_plot629r30c2,Huti-white,,"",SH3142,2018-05-25,2018-10-31,2018-11-07,0,,,,,,,,159,7
Arusha,NM201805_438,16NM_Huti-white_plot251r12c2,Huti-white,,"",SH3142,2018-05-30,2018-10-31,2018-11-14,0,,,,,,,,154,14
Arusha,NM201805_451,16NM_Huti-white_plot547r27c1,Huti-white,,"",ITC0249 Calcutta 4,2018-05-06,2018-10-22,,,,,,,,,,169,
Arusha,NM201805_453,16NM_Huti-white_plot588r28c1,Huti-white,,"",SH3142,2018-05-08,2018-11-19,2018-11-30,0,,,,,,,,195,11
Arusha,NM201805_455,16NM_Huti-white_plot211r11c1,Huti-white,,"",SH3142,2018-05-13,2018-11-08,2018-11-14,0,,,,,,,,179,6
Arusha,NM201806_(136314C2/136357),16NM_ITC1455-MchareMlelembo_plot434_r21c14,ITC1455-Mchare Mlelembo,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-06-29,2018-11-21,2018-12-13,0,,,,,,,,145,22
